#{"energy":"C","graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.4,"large_deviation_param":{"markov_seed":782063498562509862,"time_steps":500},"lockdown":{"dynamic_bool":false,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":1.1,"release_threshold":0.05},"randomize":"Random","recovery_prob":0.14,"samples":100000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 1.6989178858710199 24997
2 1.0923696996291206 6185
3 0.6774244377012475 2379
4 0.3669829759778511 1164
5 0.11260500153457453 648
6 -0.1390633792999063 363
7 -0.3391345219961308 229
8 -0.5058454059815571 156
9 -0.6736641390712483 106
10 -0.9065783148377649 62
11 -1.0555173278498313 44
12 -1.1079053973095196 39
13 -1.3372421683184257 23
14 -1.6197887582883936 12
15 -1.4948500216800937 16
16 -1.6197887582883936 12
17 -1.5528419686577806 14
18 -1.6989700043360187 10
19 -1.920818753952375 6
20 -1.6989700043360187 10
21 -1.920818753952375 6
22 -1.8538719643217618 7
23 -1.795880017344075 8
24 -1.8538719643217618 7
25 -1.744727494896694 9
26 -1.795880017344075 8
27 -1.744727494896694 9
28 -2.221848749616356 3
29 -2 5
30 -2 5
31 -2 5
32 -1.920818753952375 6
33 -2.221848749616356 3
34 -2.0969100130080562 4
35 -1.920818753952375 6
36 -1.744727494896694 9
37 -1.920818753952375 6
38 -2.221848749616356 3
39 -1.6197887582883936 12
40 -1.744727494896694 9
41 -1.795880017344075 8
42 -1.744727494896694 9
43 -1.795880017344075 8
44 -1.795880017344075 8
45 -1.5850266520291818 13
46 -1.5228787452803374 15
47 -1.795880017344075 8
48 -2 5
49 -1.5850266520291818 13
50 -1.744727494896694 9
51 -1.744727494896694 9
52 -1.5228787452803374 15
53 -1.4948500216800937 16
54 -1.5528419686577806 14
55 -1.4202164033831899 19
56 -1.4202164033831899 19
57 -1.5850266520291818 13
58 -1.6197887582883936 12
59 -1.5528419686577806 14
60 -1.4436974992327127 18
61 -1.4685210829577446 17
62 -1.4685210829577446 17
63 -1.4202164033831899 19
64 -1.3565473235138126 22
65 -1.3565473235138126 22
66 -1.3565473235138126 22
67 -1.3372421683184257 23
68 -1.2518119729937993 28
69 -1.154901959985743 35
70 -1.1079053973095196 39
71 -1.0457574905606748 45
72 -1.1191864077192086 38
73 -1.1307682802690238 37
74 -1.0457574905606748 45
75 -0.9507819773298181 56
76 -0.8860566476931631 65
77 -0.9208187539523749 60
78 -0.9829666607012193 52
79 -0.8601209135987635 69
80 -0.749579997691106 89
81 -0.6946486305533761 101
82 -0.6989700043360187 100
83 -0.5228787452803374 150
84 -0.5622494371796121 137
85 -0.4485500020271247 178
86 -0.36451625318508807 216
87 -0.3726341434072671 212
88 -0.2676062401770314 270
89 -0.19517932127883775 319
90 -0.1511952989481964 353
91 -0.05453141486818014 441
92 -0.006123085058788558 493
93 0.028571252692537463 534
94 0.08778141780954263 612
95 0.1589652603834102 721
96 0.1892094895823062 773
97 0.24254142829838443 874
98 0.3018977171952084 1002
99 0.330413773349191 1070
100 0.4212747912103465 1319
101 0.44591541395112344 1396
102 0.47070442972278803 1478
103 0.5296869537729165 1693
104 0.5425764762605296 1744
105 0.5768018958289125 1887
106 0.6251065754034677 2109
107 0.6360865151030728 2163
108 0.6687585417509578 2332
109 0.6715430852625737 2347
110 0.6788824146707357 2387
111 0.6853834098014873 2423
112 0.6799726942774185 2393
113 0.6916118742144164 2458
114 0.6998377258672459 2505
115 0.6650178254124728 2312
116 0.6499187187354192 2233
117 0.62797998982998 2123
118 0.6085260335771943 2030
119 0.5603849229720157 1817
120 0.5487578285737045 1769
121 0.4996870826184039 1580
122 0.43901672838751304 1374
123 0.42061577062576516 1317
124 0.34947179921438565 1118
125 0.2773799746672547 947
126 0.2460059040760294 881
127 0.1743505974793802 747
128 0.0546130545568877 567
129 -0.01682492796218682 481
130 -0.09691001300805624 400
131 -0.1870866433571443 325
132 -0.29242982390206373 255
133 -0.3705904008972811 213
134 -0.48678239993206107 163
135 -0.5559552040819238 139
136 -0.6903698325741012 102
137 -0.795880017344075 80
138 -0.9746941347352296 53
139 -1.1938200260161125 32
140 -1.1938200260161125 32
141 -1.2839966563652006 26
142 -1.3979400086720375 20
143 -1.6989700043360187 10
144 -1.920818753952375 6
145 -2.3979400086720375 2
146 -2.3979400086720375 2
147 -2.3979400086720375 2
148 -2.6989700043360187 1
149 -inf 0
150 -inf 0
151 -2.6989700043360187 1
152 -inf 0
153 -inf 0
154 -inf 0
155 -inf 0
156 -inf 0
157 -inf 0
158 -inf 0
159 -inf 0
160 -inf 0
161 -inf 0
162 -inf 0
163 -inf 0
164 -inf 0
165 -inf 0
166 -inf 0
167 -inf 0
168 -inf 0
169 -inf 0
170 -inf 0
171 -inf 0
172 -inf 0
173 -inf 0
174 -inf 0
175 -inf 0
176 -inf 0
177 -inf 0
178 -inf 0
179 -inf 0
180 -inf 0
181 -inf 0
182 -inf 0
183 -inf 0
184 -inf 0
185 -inf 0
186 -inf 0
187 -inf 0
188 -inf 0
189 -inf 0
190 -inf 0
191 -inf 0
192 -inf 0
193 -inf 0
194 -inf 0
195 -inf 0
196 -inf 0
197 -inf 0
198 -inf 0
199 -inf 0
200 -inf 0
