#{"energy":"C","graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.1763,"large_deviation_param":{"markov_seed":782063498562509862,"time_steps":100},"lockdown":{"dynamic_bool":true,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"randomize":{"Markov":{"every":100,"step_size":1000}},"recovery_prob":0.14,"samples":1000000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 0.168595 168595
2 0.026281 26281
3 0.007803 7803
4 0.00267 2670
5 0.001156 1156
6 0.000512 512
7 0.000243 243
8 0.000121 121
9 0.000055 55
10 0.000033 33
11 0.000022 22
12 0.000008 8
13 0.000005 5
14 0.000007 7
15 0.000001 1
16 0.000002 2
17 0.000001 1
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0.000001 1
43 0 0
44 0 0
45 0.000001 1
46 0 0
47 0.000001 1
48 0 0
49 0 0
50 0.000001 1
51 0.000004 4
52 0.000005 5
53 0.000007 7
54 0.000014 14
55 0.000016 16
56 0.00001 10
57 0.000016 16
58 0.000017 17
59 0.000024 24
60 0.000042 42
61 0.000041 41
62 0.000066 66
63 0.000079 79
64 0.000108 108
65 0.000121 121
66 0.000159 159
67 0.000196 196
68 0.000232 232
69 0.000309 309
70 0.00037 370
71 0.000455 455
72 0.000604 604
73 0.000677 677
74 0.00085 850
75 0.000982 982
76 0.001216 1216
77 0.001518 1518
78 0.001707 1707
79 0.002111 2111
80 0.002441 2441
81 0.00277 2770
82 0.003215 3215
83 0.003879 3879
84 0.004175 4175
85 0.00487 4870
86 0.005529 5529
87 0.006349 6349
88 0.006832 6832
89 0.007662 7662
90 0.008551 8551
91 0.009261 9261
92 0.010272 10272
93 0.011282 11282
94 0.012011 12011
95 0.01305 13050
96 0.013846 13846
97 0.014665 14665
98 0.015721 15721
99 0.016439 16439
100 0.017332 17332
101 0.017897 17897
102 0.018369 18369
103 0.019007 19007
104 0.019623 19623
105 0.019972 19972
106 0.020342 20342
107 0.020472 20472
108 0.02089 20890
109 0.020643 20643
110 0.020933 20933
111 0.021033 21033
112 0.020887 20887
113 0.020574 20574
114 0.020143 20143
115 0.020014 20014
116 0.019794 19794
117 0.018914 18914
118 0.018658 18658
119 0.017911 17911
120 0.01748 17480
121 0.01661 16610
122 0.015869 15869
123 0.015379 15379
124 0.014425 14425
125 0.013712 13712
126 0.012751 12751
127 0.011851 11851
128 0.011083 11083
129 0.010155 10155
130 0.009513 9513
131 0.008584 8584
132 0.007684 7684
133 0.006819 6819
134 0.00625 6250
135 0.005592 5592
136 0.004693 4693
137 0.004286 4286
138 0.003575 3575
139 0.003139 3139
140 0.002756 2756
141 0.002278 2278
142 0.001935 1935
143 0.001578 1578
144 0.001328 1328
145 0.001062 1062
146 0.000865 865
147 0.000706 706
148 0.000545 545
149 0.000454 454
150 0.000371 371
151 0.000265 265
152 0.000192 192
153 0.000145 145
154 0.000116 116
155 0.000082 82
156 0.000058 58
157 0.000035 35
158 0.000029 29
159 0.000017 17
160 0.00001 10
161 0.000009 9
162 0.000006 6
163 0.000004 4
164 0 0
165 0 0
166 0.000001 1
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 0 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0 0
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0
193 0 0
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
