#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":0.25,"start":0.05,"steps":50},"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":20000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[3000,400,600,800,1000,1200,1600,2000,2500,200]}
#lambda c var_c
0.05 256.947 156147.037791
0.05408163265306123 292.8088 175155.79624255997
0.05816326530612245 326.9464 191371.56512704003
0.06224489795918368 365.6442 213453.70800636002
0.0663265306122449 414.463 242506.97503099995
0.07040816326530613 466.4806 274942.28362364
0.07448979591836735 513.34 305283.35759999993
0.07857142857142857 566.1988 336817.30967856006
0.08265306122448979 613.9808 359134.4172313599
0.08673469387755103 657.1214 376228.40986204
0.09081632653061225 694.9976 389297.43119423994
0.09489795918367347 729.5462 397236.52826556005
0.0989795918367347 761.7142 406627.52131836
0.10306122448979593 792.1568 409358.97621376
0.10714285714285715 820.6426 417107.6656652399
0.11122448979591837 862.5022 424884.25319516007
0.11530612244897959 897.0704 429248.94024384
0.11938775510204082 930.0432 431259.0873337601
0.12346938775510205 961.2872 438941.2943161599
0.12755102040816327 989.5758 444660.29265436006
0.1316326530612245 1019.8254 449831.08211484004
0.13571428571428573 1049.9298 453210.14207196026
0.13979591836734695 1082.4984 454442.7439974402
0.14387755102040817 1106.0684 454704.3945214397
0.14795918367346939 1127.8954 456090.9680588397
0.1520408163265306 1152.301 455041.2911990003
0.15612244897959185 1174.7916 453734.5873694399
0.16020408163265304 1193.8798 452628.5429519601
0.16428571428571428 1217.3824 450417.7637702401
0.16836734693877553 1236.2558 447235.16636636015
0.17244897959183675 1257.636 439758.66150399996
0.17653061224489797 1279.5986 433597.9914780401
0.18061224489795918 1296.3564 429597.4421790403
0.1846938775510204 1310.9478 424360.7090751603
0.18877551020408162 1326.9764 423677.23824303993
0.1928571428571429 1341.8984 417912.8616774399
0.1969387755102041 1358.8828 412507.22426415957
0.20102040816326533 1373.339 407208.47847900004
0.20510204081632655 1391.8956 401232.7579006399
0.20918367346938777 1404.8058 393286.92328635976
0.21326530612244898 1419.3446 388551.79945084034
0.2173469387755102 1434.687 381961.5158310002
0.22142857142857142 1448.1266 377927.47177244
0.22551020408163264 1461.8756 372101.57412463985
0.2295918367346939 1472.2826 367795.9231372401
0.23367346938775513 1487.549 360402.9407990002
0.23775510204081635 1501.564 354601.5459039998
0.24183673469387756 1511.0472 348087.92817215994
0.24591836734693878 1521.9378 342704.2131311605
0.25 1532.3666 340413.15660443995
