#{"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.05,"lockdown":{"dynamic_bool":false,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"recovery_prob":0.14,"samples":10000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 0.4575 4575
2 0.097 970
3 0.0408 408
4 0.0184 184
5 0.0118 118
6 0.0088 88
7 0.0045 45
8 0.0047 47
9 0.0027 27
10 0.0033 33
11 0.0014 14
12 0.0013 13
13 0.0007 7
14 0.0007 7
15 0.0016 16
16 0.0012 12
17 0.0001 1
18 0.0006 6
19 0.0001 1
20 0.0005 5
21 0.0005 5
22 0.0008 8
23 0.0002 2
24 0.0002 2
25 0.0004 4
26 0.0003 3
27 0.0004 4
28 0.0003 3
29 0.0001 1
30 0.0004 4
31 0.0005 5
32 0.0003 3
33 0.0003 3
34 0.0009 9
35 0.0009 9
36 0.0011 11
37 0.0014 14
38 0.001 10
39 0.0017 17
40 0.0029 29
41 0.0026 26
42 0.0025 25
43 0.0037 37
44 0.0029 29
45 0.0046 46
46 0.0046 46
47 0.0068 68
48 0.0056 56
49 0.006 60
50 0.0071 71
51 0.0087 87
52 0.0079 79
53 0.0094 94
54 0.0088 88
55 0.009 90
56 0.0105 105
57 0.0115 115
58 0.0115 115
59 0.0111 111
60 0.01 100
61 0.0103 103
62 0.0098 98
63 0.009 90
64 0.0113 113
65 0.0093 93
66 0.0114 114
67 0.0092 92
68 0.0095 95
69 0.0093 93
70 0.0074 74
71 0.0059 59
72 0.0058 58
73 0.0077 77
74 0.0065 65
75 0.0058 58
76 0.0058 58
77 0.0046 46
78 0.0046 46
79 0.0043 43
80 0.0055 55
81 0.0032 32
82 0.0031 31
83 0.0031 31
84 0.0025 25
85 0.0026 26
86 0.002 20
87 0.002 20
88 0.0017 17
89 0.0022 22
90 0.001 10
91 0.0014 14
92 0.0005 5
93 0.0007 7
94 0.0009 9
95 0.0004 4
96 0.0006 6
97 0.0004 4
98 0.0003 3
99 0.0002 2
100 0.0002 2
101 0.0002 2
102 0.0001 1
103 0.0003 3
104 0.0001 1
105 0 0
106 0 0
107 0.0001 1
108 0 0
109 0 0
110 0.0001 1
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0
123 0 0
124 0 0
125 0 0
126 0 0
127 0 0
128 0 0
129 0 0
130 0 0
131 0 0
132 0 0
133 0 0
134 0 0
135 0 0
136 0 0
137 0 0
138 0 0
139 0 0
140 0 0
141 0 0
142 0 0
143 0 0
144 0 0
145 0 0
146 0 0
147 0 0
148 0 0
149 0 0
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0
159 0 0
160 0 0
161 0 0
162 0 0
163 0 0
164 0 0
165 0 0
166 0 0
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 0 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0 0
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0
193 0 0
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
