#{"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.9,"lockdown":{"dynamic_bool":true,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"recovery_prob":0.14,"samples":10000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 0.0006 6
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0
123 0 0
124 0 0
125 0 0
126 0 0
127 0 0
128 0 0
129 0 0
130 0.0004 4
131 0.0004 4
132 0.0003 3
133 0.0007 7
134 0.0019 19
135 0.002 20
136 0.0043 43
137 0.0053 53
138 0.0045 45
139 0.0069 69
140 0.0082 82
141 0.0113 113
142 0.0109 109
143 0.0135 135
144 0.0116 116
145 0.0148 148
146 0.013 130
147 0.0147 147
148 0.0165 165
149 0.0196 196
150 0.0258 258
151 0.0246 246
152 0.0276 276
153 0.0335 335
154 0.0348 348
155 0.037 370
156 0.0343 343
157 0.0373 373
158 0.0368 368
159 0.0427 427
160 0.0404 404
161 0.042 420
162 0.0387 387
163 0.0354 354
164 0.0403 403
165 0.0377 377
166 0.0334 334
167 0.0331 331
168 0.0311 311
169 0.0243 243
170 0.0226 226
171 0.0223 223
172 0.0182 182
173 0.0149 149
174 0.0133 133
175 0.011 110
176 0.0096 96
177 0.0083 83
178 0.0059 59
179 0.005 50
180 0.0039 39
181 0.003 30
182 0.003 30
183 0.0032 32
184 0.0011 11
185 0.0009 9
186 0.0006 6
187 0.0005 5
188 0.0002 2
189 0.0001 1
190 0.0001 1
191 0 0
192 0 0
193 0.0001 1
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
