#{"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.05,"lockdown":{"dynamic_bool":false,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"recovery_prob":0.14,"samples":1000000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 0.485954 485954
2 0.106778 106778
3 0.03392 33920
4 0.014776 14776
5 0.007455 7455
6 0.004293 4293
7 0.002708 2708
8 0.001972 1972
9 0.001526 1526
10 0.001402 1402
11 0.0014 1400
12 0.001643 1643
13 0.001953 1953
14 0.002314 2314
15 0.003033 3033
16 0.003607 3607
17 0.004503 4503
18 0.005336 5336
19 0.006457 6457
20 0.007541 7541
21 0.051981 51981
22 0.052725 52725
23 0.04852 48520
24 0.0411 41100
25 0.032463 32463
26 0.024246 24246
27 0.017584 17584
28 0.012057 12057
29 0.007963 7963
30 0.005134 5134
31 0.003229 3229
32 0.001887 1887
33 0.001122 1122
34 0.000674 674
35 0.00033 330
36 0.000209 209
37 0.000104 104
38 0.000051 51
39 0.000026 26
40 0.000015 15
41 0.000004 4
42 0.000004 4
43 0.000001 1
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0
123 0 0
124 0 0
125 0 0
126 0 0
127 0 0
128 0 0
129 0 0
130 0 0
131 0 0
132 0 0
133 0 0
134 0 0
135 0 0
136 0 0
137 0 0
138 0 0
139 0 0
140 0 0
141 0 0
142 0 0
143 0 0
144 0 0
145 0 0
146 0 0
147 0 0
148 0 0
149 0 0
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0
159 0 0
160 0 0
161 0 0
162 0 0
163 0 0
164 0 0
165 0 0
166 0 0
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 0 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0 0
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0
193 0 0
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
