#{"fraction":true,"graph_seed":875629289,"graph_type":{"SmallWorld":0.1},"lambda_range":{"end":0.25,"start":0.05,"steps":20},"num_networks":100000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[200,400,600,1000,1200,1600,2000,2400,2800,3200]}
#lambda c var_c
0.05 0.0015283964285710155 0.000003401423999990652
0.060526315789473685 0.0021641392857147546 0.000008888104468358575
0.07105263157894737 0.003220421428571194 0.00002689241133262019
0.08157894736842106 0.005210246428570095 0.00009721544567402855
0.09210526315789475 0.010004410714289319 0.00048230556090224656
0.10263157894736842 0.02430757499999942 0.002965119423894262
0.11315789473684211 0.06619421785711374 0.014769487138351394
0.12368421052631579 0.1527988642856774 0.043977504751591755
0.13421052631578947 0.26243894285707553 0.07924213677975118
0.14473684210526316 0.3651795607142846 0.10680901909601229
0.15526315789473683 0.45389853214295445 0.124590009206027
0.16578947368421054 0.5309166785715719 0.13348303546549928
0.1763157894736842 0.5959642821430264 0.13603586213539243
0.18684210526315792 0.6494653107144523 0.13473369870782193
0.19736842105263158 0.6977015214287167 0.1293109258556951
0.2078947368421053 0.7370893392858268 0.1228908484838469
0.21842105263157896 0.7716605250000833 0.114829466925633
0.22894736842105262 0.8001252000000728 0.10716120479406788
0.23947368421052634 0.8247230000000912 0.09919309897212736
0.25 0.8451511607143751 0.09193273497525523
