#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":0.25,"start":0.05,"steps":50},"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":20000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[3000,400,600,800,1000,1200,1600,2000,2500,200]}
#lambda c var_c
0.05 316.1322 233132.77272316
0.05408163265306123 368.1786 268843.53550203994
0.05816326530612245 408.8364 288838.85563504
0.06224489795918368 449.8666 314313.28720444
0.0663265306122449 499.4464 349209.40592704003
0.07040816326530613 565.6704 402056.85536384
0.07448979591836735 630.7406 448868.06171164
0.07857142857142857 693.8304 492095.42923583987
0.08265306122448979 748.2866 525574.5292604399
0.08673469387755103 799.3584 552799.4443494402
0.09081632653061225 843.4824 569140.18089024
0.09489795918367347 882.0724 577700.97795824
0.0989795918367347 919.1264 587098.37602304
0.10306122448979593 961.525 590103.0005750001
0.10714285714285715 998.8252 597219.2474449599
0.11122448979591837 1040.3718 606235.7819647603
0.11530612244897959 1084.6414 616086.40600604
0.11938775510204082 1126.2406 622933.5299116399
0.12346938775510205 1165.2424 632441.7616422398
0.12755102040816327 1205.1736 639050.8582630397
0.1316326530612245 1245.164 644222.7503040002
0.13571428571428573 1281.606 648455.010364
0.13979591836734695 1317.8382 653407.8464207603
0.14387755102040817 1346.0916 651919.8044094399
0.14795918367346939 1373.697 657256.9279910002
0.1520408163265306 1409.355 652764.5625750001
0.15612244897959185 1440.6148 644578.0536209599
0.16020408163265304 1464.625 641238.2459749999
0.16428571428571428 1486.2204 638755.4126238404
0.16836734693877553 1508.8974 635141.8820732399
0.17244897959183675 1532.9788 628183.6879505594
0.17653061224489797 1556.2252 621044.0932849594
0.18061224489795918 1577.9608 613667.3416633597
0.1846938775510204 1598.8754 604677.3674748405
0.18877551020408162 1618.8238 597802.80235356
0.1928571428571429 1637.8648 592250.1017209599
0.1969387755102041 1653.4302 589617.2475279598
0.20102040816326533 1674.625 574844.905975
0.20510204081632655 1696.9032 565040.8238297603
0.20918367346938777 1713.3798 557691.2983519603
0.21326530612244898 1729.9814 545618.3998540402
0.2173469387755102 1750.8678 533443.5795231601
0.22142857142857142 1767.2324 527850.4779902399
0.22551020408163264 1786.6026 512619.4782732404
0.2295918367346939 1798.486 508932.27380399965
0.23367346938775513 1814.6752 499757.99330496043
0.23775510204081635 1830.0642 488027.75487835985
0.24183673469387756 1844.6878 478798.49713116
0.24591836734693878 1860.5088 466442.5395225594
0.25 1874.0134 461458.6736204396
