#{"compare_nolock":true,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[3,100]},"lambda_range":{"end":1.0,"start":0.0,"steps":500},"lock_thresh":0.1,"lockdown":{"Random":[123131315,0.9]},"measure":"C","recovery_prob":0.14,"rel_thresh":0.05,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":1000}
#lambda meanWL varianceWL meanNL varianceNL
0e0 1e-3 0e0 1e-3 0e0
2.004008016032064e-3 4.1764e-3 2.0932688304000827e-4 4.1764e-3 2.0932688304000827e-4
4.008016032064128e-3 1.839e-2 2.383703499999939e-3 1.839e-2 2.383703499999939e-3
6.012024048096192e-3 3.2766800000000006e-2 5.185384817759893e-3 3.27558e-2 5.183662566359837e-3
8.016032064128256e-3 4.26014e-2 7.508888118039906e-3 5.1047600000000005e-2 1.0134668134239884e-2
1.002004008016032e-2 5.46226e-2 9.488898169239464e-3 7.778159999999999e-2 2.112942870144027e-2
1.2024048096192385e-2 6.16568e-2 1.0759403813759554e-2 1.029798e-1 3.210171939195952e-2
1.4028056112224449e-2 7.38312e-2 1.2876354706560516e-2 1.303868e-1 4.244494878575823e-2
1.603206412825651e-2 8.3798e-2 1.4746138796000096e-2 1.557162e-1 5.233671165756136e-2
1.8036072144288578e-2 9.24252e-2 1.642548080496039e-2 1.8021700000000002e-1 6.270089951100143e-2
2.004008016032064e-2 1.018458e-1 1.8080679222360486e-2 1.99201e-1 7.160806499900217e-2
2.2044088176352707e-2 1.097572e-1 1.970671944816048e-2 2.238876e-1 8.176006616624189e-2
2.404809619238477e-2 1.184458e-1 2.110872666235935e-2 2.497044e-1 9.178846462064386e-2
2.6052104208416832e-2 1.269178e-1 2.2554579443161124e-2 2.766562e-1 1.0158681480155717e-1
2.8056112224448898e-2 1.3509200000000002e-1 2.3660281936001122e-2 2.9292720000000005e-1 1.0979827230016083e-1
3.006012024048096e-2 1.43996e-1 2.4867607184001123e-2 3.066612e-1 1.1764663761456229e-1
3.206412825651302e-2 1.553178e-1 2.615526360315874e-2 3.315596e-1 1.2598360004783807e-1
3.406813627254509e-2 1.563778e-1 2.728173866716091e-2 3.528938e-1 1.3421554172156067e-1
3.6072144288577156e-2 1.696404e-1 2.8446841887839316e-2 3.74847e-1 1.4083384759099943e-1
3.807615230460922e-2 1.808548e-1 2.9467396516960714e-2 3.912778e-1 1.4724123382716034e-1
4.008016032064128e-2 1.816712e-1 3.0550128690559012e-2 4.1012380000000004e-1 1.5248639127355765e-1
4.208416833667335e-2 1.8565e-1 3.135151869999955e-2 4.24699e-1 1.571071639990065e-1
4.408817635270541e-2 1.990186e-1 3.1607340654039834e-2 4.497354e-1 1.6083433578684717e-1
4.609218436873747e-2 2.0147479999999998e-1 3.214439776495988e-2 4.7072e-1 1.6338204319999922e-1
4.809619238476954e-2 2.0859119999999998e-1 3.280075928255861e-2 4.792064e-1 1.6779313179904587e-1
