#{"compare_nolock":true,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[5,100]},"lambda_range":{"end":1.0,"start":0.05,"steps":200},"lock_thresh":0.1,"lockdown":"CircuitBreaker","measure":"C","recovery_prob":0.14,"rel_thresh":0.05,"samples_per_step":500,"sir_seed":1489264107025,"system_size":1000}
#lambda meanWL varianceWL meanNL varianceNL
5e-2 2.6903e-1 3.326602110000001e-2 6.03894e-1 1.4167975476399974e-1
5.477386934673367e-2 2.97586e-1 3.234461060399997e-2 6.13924e-1 1.5080608622400013e-1
5.954773869346734e-2 3.1638e-1 3.1526127599999954e-2 6.59532e-1 1.447850169760003e-1
6.432160804020101e-2 3.3575e-1 2.9717151500000066e-2 7.10778e-1 1.3253446471599994e-1
6.909547738693467e-2 3.34798e-1 3.3493225196000044e-2 7.27346e-1 1.337337342840002e-1
7.386934673366835e-2 3.3874200000000004e-1 3.4468399436000045e-2 7.5088e-1 1.2863062960000002e-1
7.8643216080402e-2 3.6881200000000003e-1 3.0845808656000066e-2 7.4074e-1 1.4207994040000024e-1
8.341708542713568e-2 3.7670600000000004e-1 3.115804756400003e-2 7.86602e-1 1.2118437959600006e-1
8.819095477386935e-2 3.83884e-1 3.007012254399996e-2 7.91212e-1 1.244030830559999e-1
9.296482412060302e-2 3.8674400000000003e-1 3.099133846399994e-2 8.00212e-1 1.2356883505599996e-1
9.773869346733668e-2 3.89868e-1 2.9267858576000037e-2 8.299719999999999e-1 1.0823640721599993e-1
1.0251256281407035e-1 4.05186e-1 2.540257140399995e-2 8.35858e-1 1.0787926583599995e-1
1.0728643216080402e-1 4.10998e-1 2.481344999599999e-2 8.352240000000001e-1 1.1146381382399996e-1
1.120603015075377e-1 4.1208e-1 2.3979037599999968e-2 8.57854e-1 9.827291668400005e-2
1.1683417085427135e-1 4.12992e-1 2.659796793599999e-2 8.74558e-1 8.86099266359999e-2
1.2160804020100502e-1 4.29802e-1 2.3022534796e-2 8.7662e-1 8.901664359999986e-2
1.263819095477387e-1 4.4017e-1 1.8495141099999984e-2 8.825040000000001e-1 8.636686998400019e-2
1.3115577889447236e-1 4.52296e-1 1.6171392383999998e-2 9.12218e-1 6.444571047600008e-2
1.35929648241206e-1 4.43356e-1 2.136873726399999e-2 9.13946e-1 6.468240308399999e-2
1.407035175879397e-1 4.50596e-1 2.158733678400003e-2 8.97174e-1 7.944359572399995e-2
1.4547738693467338e-1 4.5077999999999996e-1 2.2143271599999972e-2 9.00848e-1 7.8135072896e-2
1.5025125628140704e-1 4.6763e-1 1.9596057099999998e-2 8.99744e-1 7.989924246400008e-2
1.550251256281407e-1 4.8131e-1 1.6038037900000017e-2 9.08926e-1 7.364353252399998e-2
1.5979899497487438e-1 4.81516e-1 1.7650653744000017e-2 9.25608e-1 6.041601033600002e-2
1.6457286432160803e-1 4.9581000000000003e-1 1.3096273900000009e-2 9.14586e-1 7.0611638604e-2
1.693467336683417e-1 4.9548200000000003e-1 1.7040381675999975e-2 9.410940000000001e-1 4.84746691639999e-2
1.7412060301507537e-1 4.89608e-1 2.1670182336000036e-2 9.259539999999999e-1 6.242926788400005e-2
1.7889447236180905e-1 4.9980399999999997e-1 2.0124557584e-2 9.30246e-1 5.904733348400028e-2
1.8366834170854268e-1 5.09982e-1 1.7695961675999988e-2 9.366380000000001e-1 5.38992829560001e-2
1.8844221105527637e-1 5.15224e-1 1.729987782400001e-2 9.39252e-1 5.22278124959999e-2
1.9321608040201005e-1 5.241319999999999e-1 1.4897042575999999e-2 9.51532e-1 4.157749697599995e-2
1.9798994974874373e-1 5.221939999999999e-1 2.0113084364000017e-2 9.51994e-1 4.1629285964000146e-2
2.0276381909547736e-1 5.39026e-1 1.445028532399999e-2 9.44254e-1 4.8799761484000004e-2
2.0753768844221104e-1 5.379640000000001e-1 1.7001250704e-2 9.58452e-1 3.621140369600019e-2
2.1231155778894473e-1 5.498719999999999e-1 1.5996615616000007e-2 9.43048e-1 5.066134969599984e-2
2.170854271356784e-1 5.57504e-1 1.337015398400001e-2 9.59068e-1 3.625662737599998e-2
2.2185929648241204e-1 5.652780000000001e-1 1.3391944716000005e-2 9.5938e-1 3.6284167600000035e-2
2.2663316582914572e-1 5.65552e-1 1.5068431295999976e-2 9.6154e-1 3.445797239999999e-2
2.314070351758794e-1 5.64468e-1 1.7406652976e-2 9.59564e-1 3.6293793903999935e-2
2.3618090452261303e-1 5.827619999999999e-1 1.3698717356000005e-2 9.578099999999999e-1 3.8147377899999925e-2
2.4095477386934672e-1 5.896979999999999e-1 1.3137822796000008e-2 9.55966e-1 3.997982884399999e-2
2.457286432160804e-1 5.98102e-1 1.0071607596000001e-2 9.64142e-1 3.2651477836000024e-2
2.505025125628141e-1 5.8389e-1 2.011643789999998e-2 9.642580000000001e-1 3.265528343600007e-2
2.552763819095477e-1 6.0272e-1 1.0507729599999993e-2 9.64284e-1 3.266087934400001e-2
2.600502512562814e-1 6.080420000000001e-1 1.0569012235999993e-2 9.70406e-1 2.7072249164000035e-2
2.648241206030151e-1 6.10202e-1 1.6479773195999987e-2 9.76546e-1 2.1409371883999915e-2
2.6959798994974876e-1 6.155499999999999e-1 1.489364350000001e-2 9.6262e-1 3.453390759999997e-2
2.743718592964824e-1 6.1417e-1 1.4694501099999986e-2 9.72678e-1 2.520450231599996e-2
2.791457286432161e-1 6.294420000000001e-1 1.162537863599999e-2 9.70718e-1 2.7089398476000167e-2
2.8391959798994976e-1 6.412340000000001e-1 1.0413527243999998e-2 9.8077e-1 1.7592697099999978e-2
2.886934673366834e-1 6.361359999999999e-1 1.1572701504000001e-2 9.76798e-1 2.141612119600006e-2
2.9346733668341707e-1 6.439239999999999e-1 1.0380146224e-2 9.869199999999999e-1 1.1806953600000008e-2
2.9824120603015075e-1 6.453479999999999e-1 1.3716694895999998e-2 9.868899999999999e-1 1.1806193900000022e-2
3.030150753768844e-1 6.48634e-1 1.0609468044000002e-2 9.789640000000001e-1 1.9511502704000122e-2
3.0778894472361806e-1 6.50328e-1 1.2585836416000043e-2 9.81028e-1 1.7605859215999956e-2
3.125628140703517e-1 6.54808e-1 1.542719513600001e-2 9.830359999999999e-1 1.568179070399991e-2
