#{"compare":true,"complock":{"dynamic_bool":false,"lock_style":"CircuitBreaker","lock_threshold":0.1,"release_threshold":0.05},"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":2000},"lockdown":{"dynamic_bool":true,"lock_style":"Targeted","lock_threshold":0.1,"release_threshold":0.05},"measure":"C","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":200}
#lambda meanWL varianceWL meanNL varianceNL
0e0 5e-3 0e0 5e-3 0e0
5.002501250625312e-4 5.072999999999999e-3 3.8967099999996897e-7 5.072999999999999e-3 3.8967099999996897e-7
1.0005002501250625e-3 5.143999999999999e-3 9.592640000000366e-7 5.143999999999999e-3 9.592640000000366e-7
1.5007503751875938e-3 5.2439999999999995e-3 1.4704639999999375e-6 5.25e-3 1.9975000000000508e-6
2.001000500250125e-3 5.356e-3 3.223264000000084e-6 5.350000000000001e-3 3.36750000000003e-6
2.5012506253126563e-3 5.483e-3 5.251710999999824e-6 5.476999999999999e-3 5.317470999999443e-6
3.0015007503751876e-3 5.501000000000001e-3 5.0839989999993975e-6 5.598e-3 7.682396000000009e-6
3.501750875437719e-3 5.69e-3 7.73390000000042e-6 5.707e-3 8.51515100000067e-6
4.00200100050025e-3 5.879e-3 1.2902358999999426e-5 5.844e-3 1.1117663999999055e-5
4.502251125562781e-3 6.0360000000000006e-3 1.891670400000163e-5 6.085e-3 1.8747774999999734e-5
5.0025012506253125e-3 6.144e-3 2.1561264000001126e-5 6.269e-3 2.429463900000213e-5
5.502751375687844e-3 6.305000000000001e-3 2.6891974999998e-5 6.34e-3 3.0234400000002832e-5
6.003001500750375e-3 6.51e-3 3.4339900000001436e-5 6.512e-3 3.604385599999733e-5
6.5032516258129065e-3 6.5969999999999996e-3 4.2314590999997694e-5 6.9e-3 5.607999999999273e-5
7.003501750875438e-3 6.866e-3 4.79580440000005e-5 7.017e-3 5.43167109999959e-5
7.503751875937969e-3 7.009e-3 6.46489190000027e-5 7.091000000000001e-3 6.0832718999997415e-5
8.0040020010005e-3 7.745999999999999e-3 1.1277948400000098e-4 7.386e-3 8.950700400000566e-5
8.504252126063032e-3 7.742e-3 9.922143599999791e-5 7.506999999999999e-3 9.107995100000537e-5
9.004502251125562e-3 8.124e-3 1.4219062400000398e-4 7.647999999999999e-3 1.0412809599999242e-4
