#{"compare_nolock":true,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lock_thresh":0.1,"lockdown":"CircuitBreaker","measure":"C","recovery_prob":0.14,"rel_thresh":0.05,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":200}
#lambda meanWL varianceWL meanNL varianceNL
0e0 5e-3 0e0 5e-3 0e0
5.263157894736842e-2 1.16487e-1 2.2544733831000592e-2 1.64237e-1 4.698276283100219e-2
1.0526315789473684e-1 2.55702e-1 3.990105719599911e-2 4.62237e-1 1.2001927083099753e-1
1.5789473684210525e-1 3.4549199999999997e-1 4.2517597936000934e-2 6.48273e-1 1.2799233247100059e-1
2.1052631578947367e-1 4.1302500000000003e-1 3.8643404374999996e-2 7.6315e-1 1.1032274749999824e-1
2.631578947368421e-1 4.61753e-1 3.206761199100003e-2 8.35127e-1 8.797783887099715e-2
3.157894736842105e-1 4.91183e-1 2.9871205511000143e-2 8.803700000000001e-1 6.976924309999917e-2
3.684210526315789e-1 5.17585e-1 2.4778512774999883e-2 9.121349999999999e-1 5.456210677500054e-2
4.2105263157894735e-1 5.43431e-1 2.0315473239000334e-2 9.368380000000001e-1 4.07999817560008e-2
4.7368421052631576e-1 5.59585e-1 1.8952172774999918e-2 9.4863e-1 3.483908309999926e-2
5.263157894736842e-1 5.73608e-1 1.6001382335999743e-2 9.63134e-1 2.5125898043999666e-2
5.789473684210527e-1 5.862189999999999e-1 1.3840719038999982e-2 9.72174e-1 1.8930473723999662e-2
6.31578947368421e-1 5.96706e-1 1.1549899564000139e-2 9.779829999999999e-1 1.5029996710999883e-2
6.842105263157895e-1 6.047319999999999e-1 1.05547981759999e-2 9.869509999999999e-1 7.600308598999661e-3
7.368421052631579e-1 6.09361e-1 9.674416678999915e-3 9.888790000000001e-1 6.441798359000011e-3
7.894736842105263e-1 6.12906e-1 9.044455163999968e-3 9.92318e-1 3.727106876000135e-3
8.421052631578947e-1 6.12222e-1 8.779112716000018e-3 9.9407e-1 2.361795100000026e-3
8.947368421052632e-1 6.14178e-1 8.40108431599994e-3 9.952960000000001e-1 1.3817923839999316e-3
9.473684210526315e-1 6.17771e-1 8.03812655900004e-3 9.96629e-1 2.0297135900001643e-4
1e0 6.21568e-1 8.217401376000057e-3 9.969549999999999e-1 5.952974999999575e-6
