#{"compare":true,"complock":{"dynamic_bool":false,"lock_style":"None","lock_threshold":0.1,"release_threshold":0.05},"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lockdown":{"dynamic_bool":true,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"measure":"C","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":200}
#lambda meanWL varianceWL meanNL varianceNL
0e0 5e-3 0e0 5e-3 0e0
5.263157894736842e-2 1.1522700000000001e-1 2.2806633471000128e-2 1.64277e-1 4.727675227099957e-2
1.0526315789473684e-1 2.69171e-1 4.532696775900038e-2 4.70535e-1 1.2040366877500205e-1
1.5789473684210525e-1 3.82742e-1 4.8641361435999786e-2 6.4378e-1 1.3245259160000272e-1
2.1052631578947367e-1 4.5931199999999994e-1 4.842107665599934e-2 7.60479e-1 1.1540532555900065e-1
2.631578947368421e-1 5.223e-1 4.375993999999963e-2 8.40008e-1 8.780974993600098e-2
3.157894736842105e-1 5.7068e-1 3.605501759999959e-2 8.79086e-1 7.467818460399987e-2
3.684210526315789e-1 6.12164e-1 3.0873037103999912e-2 9.175709999999999e-1 5.3282554958999626e-2
4.2105263157894735e-1 6.40873e-1 2.6350582871000314e-2 9.40342e-1 4.093154303600229e-2
4.7368421052631576e-1 6.677339999999999e-1 2.4146955244000283e-2 9.50258e-1 3.706800343600195e-2
5.263157894736842e-1 6.89003e-1 2.297746099100037e-2 9.6697e-1 2.4933199099999852e-2
5.789473684210527e-1 7.05954e-1 1.985932988400021e-2 9.712470000000001e-1 2.3177989990999626e-2
6.31578947368421e-1 7.199899999999999e-1 1.594907990000005e-2 9.83916e-1 1.263168494399936e-2
6.842105263157895e-1 7.24823e-1 1.6188773670999912e-2 9.87953e-1 9.770094790999679e-3
7.368421052631579e-1 7.278249999999999e-1 1.5386084375000133e-2 9.95001e-1 3.745564998999824e-3
7.894736842105263e-1 7.323109999999999e-1 1.1556514278999936e-2 9.96702e-1 2.5658031959998637e-3
8.421052631578947e-1 7.30267e-1 1.0497633710999989e-2 9.99037e-1 5.931476310000014e-4
8.947368421052632e-1 7.31357e-1 9.032603550999968e-3 9.992489999999999e-1 5.943109990000043e-4
9.473684210526315e-1 7.31658e-1 9.219201036000105e-3 9.99971e-1 1.441590000000037e-7
1e0 7.319880000000001e-1 8.947677856000038e-3 1e0 0e0
