#{"compare":true,"complock":{"dynamic_bool":false,"lock_style":{"Random":[123131315,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":250},"lockdown":{"dynamic_bool":true,"lock_style":"Targeted","lock_threshold":0.1,"release_threshold":0.05},"measure":"C","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":200}
#lambda meanWL varianceWL meanNL varianceNL
0e0 5e-3 0e0 5e-3 0e0
4.016064257028112e-3 5.782000000000001e-3 1.0288476000000467e-5 5.827e-3 1.2691071000001242e-5
8.032128514056224e-3 7.35e-3 8.64675000000052e-5 7.444999999999999e-3 8.973697500000441e-5
1.2048192771084338e-2 1.0690999999999999e-2 3.9566751899999374e-4 1.0638000000000002e-2 3.5483295600002027e-4
1.606425702811245e-2 1.4624999999999999e-2 9.309443750000124e-4 1.5724000000000002e-2 1.1430858240000397e-3
2.0080321285140562e-2 2.1709999999999997e-2 2.2881658999999188e-3 2.178e-2 2.264361600000076e-3
2.4096385542168676e-2 3.1756e-2 4.360316463999832e-3 3.0194000000000002e-2 4.068982363999863e-3
2.8112449799196786e-2 4.1513e-2 6.590225830999975e-3 4.4755e-2 7.24589497499971e-3
3.21285140562249e-2 5.4683999999999996e-2 9.27722014400018e-3 5.2737e-2 9.258903830999903e-3
3.614457831325301e-2 6.6359e-2 1.1984428118999331e-2 6.8961e-2 1.3036825478999668e-2
4.0160642570281124e-2 8.0589e-2 1.5251408079000143e-2 8.187900000000001e-2 1.5589494358999183e-2
4.417670682730924e-2 9.3578e-2 1.77385179159997e-2 9.7886e-2 1.903507100399995e-2
4.819277108433735e-2 1.02393e-1 1.972866855099959e-2 1.0662100000000001e-1 2.1196527358999094e-2
5.220883534136546e-2 1.12642e-1 2.1744389835999085e-2 1.20374e-1 2.4096860123998916e-2
5.622489959839357e-2 1.26414e-1 2.4097820603999575e-2 1.36149e-1 2.69612347990003e-2
6.0240963855421686e-2 1.45764e-1 2.6869736303999046e-2 1.52008e-1 2.89951879360005e-2
6.42570281124498e-2 1.53859e-1 2.8892493118998278e-2 1.62558e-1 3.1625056636001264e-2
6.827309236947791e-2 1.6412700000000002e-1 3.0589582870999898e-2 1.7144500000000001e-1 3.326596697500128e-2
7.228915662650602e-2 1.73659e-1 3.220963671900092e-2 1.85503e-1 3.546672199100142e-2
7.630522088353414e-2 1.9061399999999998e-1 3.340488300400033e-2 1.97351e-1 3.774365779899971e-2
8.032128514056225e-2 1.9814299999999999e-1 3.511220655100015e-2 2.11725e-1 3.9026279374999355e-2
8.433734939759036e-2 2.08589e-1 3.576698407899989e-2 2.24878e-1 4.095872511600076e-2
8.835341365461848e-2 2.1705e-1 3.688270750000076e-2 2.41565e-1 4.248291577499897e-2
9.236947791164658e-2 2.21172e-1 3.802282641600044e-2 2.51119e-1 4.426870283900106e-2
9.63855421686747e-2 2.32757e-1 3.8496593950999386e-2 2.57609e-1 4.53147581189998e-2
1.0040160642570281e-1 2.3994e-1 4.012718640000075e-2 2.71075e-1 4.6225939375001e-2
1.0441767068273092e-1 2.47373e-1 4.0194043871000805e-2 2.80643e-1 4.7702181551001165e-2
1.0843373493975904e-1 2.62304e-1 4.014988158399951e-2 2.90487e-1 4.9001827831000995e-2
1.1244979919678715e-1 2.70588e-1 4.0823874256001105e-2 3.0618300000000004e-1 4.945695551099916e-2
1.1646586345381527e-1 2.7975e-1 4.151373750000024e-2 3.1516e-1 5.03137944000003e-2
1.2048192771084337e-1 2.85641e-1 4.124514411899899e-2 3.26841e-1 5.0614815718999756e-2
1.2449799196787148e-1 2.92498e-1 4.2360389995999774e-2 3.3974499999999996e-1 5.0276859975001524e-2
1.285140562248996e-1 3.01409e-1 4.170576971899902e-2 3.4376399999999996e-1 5.168609230399917e-2
1.3253012048192772e-1 3.10668e-1 4.172077377600053e-2 3.55221e-1 5.2347226158999866e-2
1.3654618473895583e-1 3.1454e-1 4.2693128399999065e-2 3.66145e-1 5.2070973974999275e-2
1.4056224899598393e-1 3.17161e-1 4.321384507900056e-2 3.6880899999999994e-1 5.335840651900055e-2
1.4457831325301204e-1 3.29448e-1 4.1739865295999434e-2 3.7666200000000005e-1 5.4386697755999684e-2
1.4859437751004015e-1 3.38158e-1 4.104946703600004e-2 3.88553e-1 5.332299119099973e-2
1.5261044176706828e-1 3.4131999999999996e-1 4.200449759999897e-2 4.0096600000000004e-1 5.2518376843999987e-2
1.566265060240964e-1 3.4655e-1 4.132385750000022e-2 4.13144e-1 5.1291515263998895e-2
1.606425702811245e-1 3.5369500000000004e-1 4.168330197500006e-2 4.11602e-1 5.400765359600011e-2
1.646586345381526e-1 3.5877000000000003e-1 4.1003447099999764e-2 4.23703e-1 5.333430279099989e-2
1.686746987951807e-1 3.60884e-1 4.16869985439999e-2 4.33001e-1 5.1746278998999536e-2
1.7269076305220885e-1 3.71783e-1 4.1231415910999714e-2 4.40006e-1 5.219270996399971e-2
1.7670682730923695e-1 3.7451900000000005e-1 4.101998363900011e-2 4.4661700000000004e-1 5.225120031099972e-2
1.8072289156626506e-1 3.82504e-1 4.003060998400108e-2 4.48204e-1 5.389737438400024e-2
1.8473895582329317e-1 3.82948e-1 4.141296929600094e-2 4.6083799999999997e-1 5.1666407755999524e-2
1.8875502008032127e-1 3.8681800000000005e-1 4.0446454876000335e-2 4.67603e-1 5.0045539390999e-2
1.927710843373494e-1 3.9552e-1 4.0461869600000235e-2 4.6817100000000006e-1 5.305223975899911e-2
1.9678714859437751e-1 3.97751e-1 3.9178836998999704e-2 4.77293e-1 5.1270327150999245e-2
2.0080321285140562e-1 4.04959e-1 3.9526253319000684e-2 4.84812e-1 5.007200465599978e-2
2.0481927710843373e-1 4.06645e-1 3.836218897500103e-2 4.93315e-1 4.977721577500037e-2
2.0883534136546184e-1 4.10475e-1 3.876904937500085e-2 4.9425600000000003e-1 5.042871646399996e-2
2.1285140562248997e-1 4.09342e-1 3.951743703599867e-2 4.96573e-1 5.17345206710006e-2
2.1686746987951808e-1 4.17344e-1 3.804880566399997e-2 5.05245e-1 5.009034497499967e-2
2.2088353413654618e-1 4.28171e-1 3.631489975899906e-2 5.095810000000001e-1 5.000456943900125e-2
2.248995983935743e-1 4.23466e-1 3.804453684399931e-2 5.14266e-1 5.054779124399994e-2
2.289156626506024e-1 4.30693e-1 3.622391475100026e-2 5.14498e-1 5.131422799599919e-2
2.3293172690763053e-1 4.32329e-1 3.6754720759000346e-2 5.32898e-1 4.6079881595999975e-2
2.3694779116465864e-1 4.39412e-1 3.548232425600003e-2 5.33666e-1 4.658523044399978e-2
2.4096385542168675e-1 4.3939700000000004e-1 3.683097139099938e-2 5.362169999999999e-1 4.626476391099879e-2
2.4497991967871485e-1 4.52474e-1 3.343791932400042e-2 5.37327e-1 4.7953760070999135e-2
2.4899598393574296e-1 4.47235e-1 3.547068977500034e-2 5.483939999999999e-1 4.506725076399955e-2
2.5301204819277107e-1 4.50334e-1 3.507524844399997e-2 5.5236e-1 4.4504910400000194e-2
2.570281124497992e-1 4.55304e-1 3.351630758399998e-2 5.538069999999999e-1 4.485177175099951e-2
2.6104417670682734e-1 4.5745399999999997e-1 3.425973788400026e-2 5.5995e-1 4.416330749999847e-2
2.6506024096385544e-1 4.59603e-1 3.381629739100037e-2 5.66897e-1 4.254849639100074e-2
2.6907630522088355e-1 4.6646299999999996e-1 3.246796463100019e-2 5.64847e-1 4.490913159100007e-2
2.7309236947791166e-1 4.65527e-1 3.276733727100049e-2 5.70677e-1 4.371659667100031e-2
2.7710843373493976e-1 4.67472e-1 3.322921921599945e-2 5.76148e-1 4.2833642095999803e-2
2.8112449799196787e-1 4.68636e-1 3.341539950400014e-2 5.87046e-1 3.90070038840003e-2
2.85140562248996e-1 4.74985e-1 3.0411024774999764e-2 5.88113e-1 3.928618423099973e-2
2.891566265060241e-1 4.7544400000000003e-1 3.2147262863999965e-2 5.95479e-1 3.7866695559000914e-2
2.931726907630522e-1 4.78089e-1 3.13083830789999e-2 5.91923e-1 4.0181907071000195e-2
2.971887550200803e-1 4.79358e-1 3.031852783599975e-2 5.9834e-1 3.8535564400000416e-2
3.0120481927710846e-1 4.84272e-1 2.9935050016000202e-2 5.99975e-1 3.825062437499936e-2
3.0522088353413657e-1 4.8944200000000004e-1 2.970248863599998e-2 6.04803e-1 3.7393036190999734e-2
3.092369477911647e-1 4.90402e-1 2.8357628395999986e-2 6.074090000000001e-1 3.744843171899985e-2
3.132530120481928e-1 4.90374e-1 2.935376012399974e-2 6.08383e-1 3.806684031100034e-2
3.172690763052209e-1 4.93345e-1 2.8699625974999914e-2 6.14312e-1 3.629325665599953e-2
3.21285140562249e-1 4.99985e-1 2.6778184774999794e-2 6.17882e-1 3.607151407599925e-2
3.253012048192771e-1 5.00107e-1 2.7461803551000134e-2 6.17027e-1 3.7934686270999704e-2
3.293172690763052e-1 5.01788e-1 2.717882305599954e-2 6.22059e-1 3.5740335518999924e-2
3.333333333333333e-1 5.01864e-1 2.7399605504000266e-2 6.24362e-1 3.6275542956000516e-2
3.373493975903614e-1 5.019279999999999e-1 2.8008292815999796e-2 6.32292e-1 3.314437673600045e-2
3.413654618473896e-1 5.06494e-1 2.725832796400008e-2 6.34056e-1 3.356827886399946e-2
3.453815261044177e-1 5.14319e-1 2.3044031239000482e-2 6.31487e-1 3.511148383100009e-2
3.493975903614458e-1 5.12605e-1 2.541490897500044e-2 6.37736e-1 3.3115034304000104e-2
3.534136546184739e-1 5.133679999999999e-1 2.5876076575999985e-2 6.36772e-1 3.541820001599933e-2
3.57429718875502e-1 5.12058e-1 2.485622463599987e-2 6.46074e-1 3.1196606524000078e-2
3.614457831325301e-1 5.19927e-1 2.413842967099954e-2 6.46058e-1 3.2581800635999976e-2
3.654618473895582e-1 5.178889999999999e-1 2.433329867899994e-2 6.47759e-1 3.1978852919000385e-2
3.6947791164658633e-1 5.191680000000001e-1 2.4636387775999854e-2 6.51799e-1 3.0563638598999684e-2
3.7349397590361444e-1 5.220199999999999e-1 2.528805960000048e-2 6.48731e-1 3.334558463899939e-2
