#{"compare_nolock":false,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[3,20]},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lockdown":{"dynamic_bool":true,"lock_style":"Targeted","lock_threshold":0.1,"release_threshold":0.05},"measure":"C","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":500}
#lambda mean variance
0e0 2e-3 0e0
5.263157894736842e-2 2.135048e-1 4.037314997695926e-2
1.0526315789473684e-1 4.06404e-1 5.347329438399969e-2
1.5789473684210525e-1 5.337487999999999e-1 4.5025560898559996e-2
2.1052631578947367e-1 6.001684e-1 3.814114844143916e-2
2.631578947368421e-1 6.476535999999999e-1 2.7773169607040207e-2
3.157894736842105e-1 6.761608e-1 2.3133698943359933e-2
3.684210526315789e-1 7.023128000000001e-1 1.5026244556160043e-2
4.2105263157894735e-1 7.188304000000001e-1 1.1475177635839913e-2
4.7368421052631576e-1 7.327e-1 8.596092399999984e-3
5.263157894736842e-1 7.431744e-1 6.869806384639999e-3
5.789473684210527e-1 7.517896e-1 4.562512531840021e-3
6.31578947368421e-1 7.584252e-1 4.636925604959933e-3
6.842105263157895e-1 7.672124e-1 3.059545286239987e-3
7.368421052631579e-1 7.697564e-1 2.841901459040042e-3
7.894736842105263e-1 7.72956e-1 2.8191468640000102e-3
8.421052631578947e-1 7.733443999999999e-1 2.4809325886399926e-3
8.947368421052632e-1 7.726976e-1 2.082284554240024e-3
9.473684210526315e-1 7.726432e-1 1.8950998937599746e-3
1e0 7.755712e-1 1.8355361305599856e-3
