#{"compare_nolock":true,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lock_thresh":0.1,"lockdown":"Random","measure":"C","recovery_prob":0.14,"rel_thresh":0.05,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":50}
#lambda meanWL varianceWL meanNL varianceNL
0e0 2e-2 0e0 2e-2 0e0
5.263157894736842e-2 1.9558e-1 4.054038359999998e-2 3.08628e-1 1.0185779761599688e-1
1.0526315789473684e-1 3.8455599999999995e-1 6.663820286400111e-2 5.66056e-1 1.461673248639989e-1
1.5789473684210525e-1 5.014e-1 6.667676000000192e-2 7.17252e-1 1.3235844849600312e-1
2.1052631578947367e-1 5.833079999999999e-1 5.8775217135999355e-2 8.069799999999999e-1 1.0615039959999906e-1
2.631578947368421e-1 6.3642e-1 4.919734359999939e-2 8.62652e-1 8.118648689599701e-2
3.157894736842105e-1 6.831959999999999e-1 3.870106558399998e-2 8.96924e-1 6.305013822400095e-2
3.684210526315789e-1 7.05264e-1 3.4097890304000164e-2 9.165479999999999e-1 5.217216369599999e-2
4.2105263157894735e-1 7.329559999999999e-1 2.529910206399997e-2 9.33512e-1 4.10719858559996e-2
4.7368421052631576e-1 7.512000000000001e-1 2.0186719999999388e-2 9.450879999999999e-1 3.277283225600076e-2
5.263157894736842e-1 7.68228e-1 1.5343900016000037e-2 9.5816e-1 2.3161254400001618e-2
5.789473684210527e-1 7.8172e-1 1.2788881600000346e-2 9.636520000000001e-1 1.9212662896000127e-2
6.31578947368421e-1 7.916159999999999e-1 1.0281708543999821e-2 9.72332e-1 1.2032001776000752e-2
6.842105263157895e-1 8.04e-1 6.541439999999969e-3 9.77092e-1 8.22682353599984e-3
7.368421052631579e-1 8.11992e-1 5.31683193599989e-3 9.79204e-1 6.955446384000299e-3
7.894736842105263e-1 8.18904e-1 5.081998784000315e-3 9.834040000000001e-1 3.2604927839996337e-3
8.421052631578947e-1 8.255840000000001e-1 3.4454589440000597e-3 9.85052e-1 2.147837295999997e-3
8.947368421052632e-1 8.310200000000001e-1 2.2719195999999606e-3 9.8586e-1 1.7772603999999604e-3
9.473684210526315e-1 8.35492e-1 1.7818379359999614e-3 9.87564e-1 2.828659040000145e-4
1e0 8.39584e-1 1.8177469439999668e-3 9.88232e-1 9.687417599999471e-5
