#{"compare":true,"complock":{"dynamic_bool":false,"lock_style":"None","lock_threshold":0.1,"release_threshold":0.05},"fraction":true,"graph_seed":875629289,"graph_type":{"SmallWorld":0.1},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lockdown":{"dynamic_bool":true,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"measure":"C","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":9600}
#lambda mean variance
0e0 1.0416666666666667e-4 0e0
5.263157894736842e-2 5.031875e-4 4.1956926692708707e-7
1.0526315789473684e-1 1.7868645833333332e-2 2.149374610232204e-3
1.5789473684210525e-1 4.7698631249999995e-1 1.2764475026794886e-1
2.1052631578947367e-1 7.487837291666667e-1 1.2015403877336775e-1
2.631578947368421e-1 8.723015208333333e-1 7.946232474447415e-2
3.157894736842105e-1 9.223516041666666e-1 5.698388456938801e-2
3.684210526315789e-1 9.495876249999999e-1 4.0898231044949926e-2
4.2105263157894735e-1 9.759279999999999e-1 2.0027349484402872e-2
4.7368421052631576e-1 9.799179375e-1 1.799494148840226e-2
5.263157894736842e-1 9.893618333333334e-1 9.685336536708757e-3
5.789473684210527e-1 9.953694166666666e-1 4.1779220729930774e-3
6.31578947368421e-1 9.963911666666667e-1 3.386075766416709e-3
6.842105263157895e-1 9.982968958333334e-1 1.5965098420134404e-3
7.368421052631579e-1 9.991501250000001e-1 7.991234373107087e-4
7.894736842105263e-1 9.995782291666666e-1 3.997431011175978e-4
8.421052631578947e-1 9.99391875e-1 5.995063732204581e-4
8.947368421052632e-1 9.999967916666667e-1 3.369288194445805e-10
9.473684210526315e-1 9.99999375e-1 6.471354166668979e-11
1e0 1e0 0e0
