#{"compare_nolock":true,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.05,"steps":200},"lock_thresh":0.1,"lockdown":"CircuitBreaker","measure":"M","recovery_prob":0.14,"rel_thresh":0.05,"samples_per_step":500,"sir_seed":1489264107025,"system_size":2000}
#lambda meanWL varianceWL meanNL varianceNL
5e-2 2.7736e-2 1.746824303999998e-3 3.095e-2 1.9950125000000023e-3
5.477386934673367e-2 3.4588e-2 2.1630602560000003e-3 3.8346e-2 2.7875802839999984e-3
5.954773869346734e-2 3.8314e-2 2.4626264039999952e-3 4.776e-2 3.628053399999983e-3
6.432160804020101e-2 4.4364e-2 2.680889504000001e-3 5.726e-2 4.578211399999983e-3
6.909547738693467e-2 4.6583e-2 2.783779610999993e-3 6.4568e-2 5.75604537599998e-3
7.386934673366835e-2 4.8617e-2 2.9061548110000082e-3 8.2493e-2 6.955698451000007e-3
7.8643216080402e-2 5.3950000000000005e-2 3.039783500000004e-3 9.915900000000001e-2 8.413598219000016e-3
8.341708542713568e-2 6.2140999999999995e-2 3.090484619000004e-3 1.01161e-1 9.55992357899999e-3
8.819095477386935e-2 6.0599e-2 3.233547699000005e-3 1.04817e-1 1.1021611010999981e-2
9.296482412060302e-2 6.4418e-2 3.2492562760000035e-3 1.28792e-1 1.2306920736000057e-2
9.773869346733668e-2 6.8821e-2 3.3041394590000057e-3 1.4155099999999998e-1 1.3608192898999996e-2
1.0251256281407035e-1 6.947199999999999e-2 3.367346216000008e-3 1.50251e-1 1.5048403499000013e-2
1.0728643216080402e-1 7.9562e-2 3.335902156000008e-3 1.58725e-1 1.694521787500003e-2
1.120603015075377e-1 7.3825e-2 3.5494128750000026e-3 1.78845e-1 1.770024447500005e-2
1.1683417085427135e-1 8.1153e-2 3.423286090999996e-3 1.99731e-1 1.812839813899999e-2
1.2160804020100502e-1 9.031499999999999e-2 3.193064275000004e-3 2.04121e-1 1.9578496858999973e-2
1.263819095477387e-1 8.7685e-2 3.3525472750000093e-3 2.25864e-1 2.0041620503999973e-2
1.3115577889447236e-1 8.8973e-2 3.492648770999993e-3 2.15886e-1 2.3305573003999998e-2
1.35929648241206e-1 9.0522e-2 3.500446516000008e-3 2.31672e-1 2.3657177416000028e-2
1.407035175879397e-1 8.7729e-2 3.772794059000008e-3 2.54699e-1 2.372915189900003e-2
1.4547738693467338e-1 9.749e-2 3.3729099000000093e-3 2.71444e-1 2.2502079863999973e-2
1.5025125628140704e-1 9.6754e-2 3.473106484000006e-3 2.8424299999999997e-1 2.302232245099997e-2
1.550251256281407e-1 1.01131e-1 3.3382093389999934e-3 2.8329899999999997e-1 2.6086575099000052e-2
1.5979899497487438e-1 1.04964e-1 3.3057897039999924e-3 2.84693e-1 2.8363741251000003e-2
1.6457286432160803e-1 1.00893e-1 3.934456050999991e-3 3.08291e-1 2.6369269819e-2
1.693467336683417e-1 1.0880500000000001e-1 3.360773474999999e-3 3.1586200000000003e-1 2.767730895599999e-2
1.7412060301507537e-1 1.14522e-1 3.1199865159999974e-3 3.3148500000000003e-1 2.6659884275000045e-2
1.7889447236180905e-1 1.18005e-1 3.1965274749999966e-3 3.28731e-1 3.0317282139000052e-2
1.8366834170854268e-1 1.1486e-1 3.2362953999999925e-3 3.52158e-1 2.7100505035999967e-2
1.8844221105527637e-1 1.19975e-1 3.2419968750000043e-3 3.5142599999999996e-1 2.9929764524000035e-2
1.9321608040201005e-1 1.18472e-1 3.3502672159999927e-3 3.63611e-1 2.9616216179000045e-2
1.9798994974874373e-1 1.20608e-1 3.4773923360000084e-3 3.71405e-1 3.048167047499995e-2
2.0276381909547736e-1 1.2419799999999999e-1 3.0290847960000008e-3 3.81137e-1 2.9512882730999935e-2
2.0753768844221104e-1 1.26705e-1 3.413020474999994e-3 3.87375e-1 3.049401087500001e-2
2.1231155778894473e-1 1.27491e-1 3.3667894189999986e-3 3.88852e-1 3.292035809599999e-2
2.170854271356784e-1 1.32334e-1 3.053300443999999e-3 4.0537e-1 3.0580447100000043e-2
2.2185929648241204e-1 1.33226e-1 3.293100923999997e-3 4.1426999999999997e-1 3.047023509999999e-2
2.2663316582914572e-1 1.3008799999999998e-1 3.4636872560000055e-3 4.1730900000000004e-1 3.236714401899999e-2
2.314070351758794e-1 1.3639500000000002e-1 2.992487475000001e-3 4.3056e-1 2.985244339999999e-2
2.3618090452261303e-1 1.3883500000000001e-1 3.1205422750000007e-3 4.37705e-1 3.034190147500003e-2
2.4095477386934672e-1 1.41724e-1 2.6404468239999957e-3 4.50003e-1 2.7307028491000036e-2
2.457286432160804e-1 1.40907e-1 3.246813851000005e-3 4.6607299999999996e-1 2.489087017099997e-2
2.505025125628141e-1 1.3904e-1 3.5823173999999965e-3 4.58275e-1 3.044306787499991e-2
2.552763819095477e-1 1.44394e-1 3.3803887640000024e-3 4.69331e-1 2.9096956939000027e-2
2.600502512562814e-1 1.44008e-1 3.2841979360000036e-3 4.63303e-1 3.395091869100002e-2
2.648241206030151e-1 1.4268899999999998e-1 3.93534577900001e-3 4.7296e-1 3.183775939999996e-2
2.6959798994974876e-1 1.46254e-1 3.762851483999998e-3 4.8726400000000003e-1 2.8914521304000077e-2
2.743718592964824e-1 1.51678e-1 3.117613315999997e-3 4.9403800000000003e-1 2.9110205555999986e-2
2.791457286432161e-1 1.47003e-1 4.228426490999998e-3 5.03056e-1 2.767238686400001e-2
2.8391959798994976e-1 1.5554400000000002e-1 3.056460063999997e-3 4.87064e-1 3.746435890400007e-2
2.886934673366834e-1 1.59282e-1 3.3964214759999965e-3 5.21368e-1 2.4458912575999994e-2
2.9346733668341707e-1 1.6147399999999998e-1 3.4789213240000024e-3 5.11378e-1 3.051839311599998e-2
2.9824120603015075e-1 1.5684e-1 4.162362399999999e-3 5.19582e-1 2.9499154276000028e-2
3.030150753768844e-1 1.6307400000000002e-1 3.660035524000002e-3 5.38457e-1 2.2680154650999984e-2
3.0778894472361806e-1 1.63022e-1 3.704683515999999e-3 5.22419e-1 3.3198675938999965e-2
3.125628140703517e-1 1.64305e-1 4.2176864749999985e-3 5.29558e-1 3.1996611636000025e-2
3.173366834170854e-1 1.6810499999999998e-1 3.419578475000001e-3 5.49735e-1 2.502252727500002e-2
3.221105527638191e-1 1.65107e-1 3.6734970510000032e-3 5.60005e-1 2.1607252475e-2
3.2688442211055274e-1 1.69338e-1 3.964034755999998e-3 5.6057e-1 2.3847450100000004e-2
3.316582914572864e-1 1.69786e-1 3.9475242039999974e-3 5.70653e-1 2.0956183091000002e-2
3.3643216080402005e-1 1.7138599999999998e-1 3.2270230039999964e-3 5.63607e-1 2.6279228051e-2
3.4120603015075374e-1 1.7162200000000002e-1 3.4910901159999974e-3 5.759460000000001e-1 2.207402608400003e-2
3.459798994974874e-1 1.75872e-1 3.688961616000003e-3 5.8133e-1 2.172130809999995e-2
3.5075376884422105e-1 1.70963e-1 4.336385131000003e-3 5.88331e-1 1.9938782938999984e-2
3.5552763819095473e-1 1.7077799999999999e-1 4.126384716e-3 5.83201e-1 2.4972579098999997e-2
3.603015075376884e-1 1.76764e-1 3.940000304000002e-3 5.80063e-1 2.941255153100002e-2
3.650753768844221e-1 1.75368e-1 4.138842575999999e-3 5.85924e-1 2.8375334224000022e-2
3.698492462311558e-1 1.7569900000000002e-1 3.8562408990000033e-3 5.964020000000001e-1 2.5280517396000023e-2
3.746231155778894e-1 1.74964e-1 3.7671697039999997e-3 5.912029999999999e-1 2.969435829099997e-2
3.793969849246231e-1 1.78944e-1 3.981998864000003e-3 6.11186e-1 2.0651896403999993e-2
3.841708542713568e-1 1.8123e-1 3.449667099999998e-3 6.053350000000001e-1 2.6043835275000024e-2
3.889447236180904e-1 1.7609899999999998e-1 3.887835699000001e-3 6.207050000000001e-1 1.8740713475000007e-2
3.937185929648241e-1 1.7685e-1 3.998270500000003e-3 6.308980000000001e-1 1.5004996595999999e-2
3.984924623115577e-1 1.7652400000000001e-1 4.544135423999999e-3 6.14468e-1 2.5943267976000012e-2
4.0326633165829145e-1 1.7696199999999998e-1 4.373529556000005e-3 6.39906e-1 1.282440416400001e-2
4.0804020100502514e-1 1.76727e-1 4.162973970999996e-3 6.39779e-1 1.6320394659000006e-2
4.1281407035175877e-1 1.83401e-1 3.8729006989999945e-3 6.32904e-1 2.208662678399998e-2
4.1758793969849245e-1 1.83431e-1 2.9906797389999983e-3 6.323909999999999e-1 2.3846845619000006e-2
4.223618090452261e-1 1.79918e-1 3.980533276e-3 6.25166e-1 2.9535477443999997e-2
4.2713567839195976e-1 1.80597e-1 3.7123790910000023e-3 6.42888e-1 2.0979367456000035e-2
4.3190954773869344e-1 1.82136e-1 4.022512503999993e-3 6.395259999999999e-1 2.4383115323999994e-2
4.366834170854271e-1 1.8237e-1 4.170690100000003e-3 6.47258e-1 2.2165843436000022e-2
4.4145728643216076e-1 1.85018e-1 3.7388836759999983e-3 6.58507e-1 1.6315979451000006e-2
4.4623115577889444e-1 1.86904e-1 3.4833737839999996e-3 6.49432e-1 2.4197635376000018e-2
4.510050251256281e-1 1.87328e-1 3.679017416000001e-3 6.596799999999999e-1 2.0168714599999985e-2
4.557788944723618e-1 1.82208e-1 3.8335117359999987e-3 6.628160000000001e-1 1.9404435144000014e-2
4.6055276381909543e-1 1.86841e-1 3.955891219000002e-3 6.72551e-1 1.6062917899000002e-2
4.653266331658291e-1 1.89532e-1 4.132186976000004e-3 6.61106e-1 2.4077651764000018e-2
4.701005025125628e-1 1.89341e-1 3.703837218999996e-3 6.6353e-1 2.4260697100000034e-2
4.7487437185929643e-1 1.97739e-1 3.6482293790000004e-3 6.88098e-1 9.79810839600001e-3
4.796482412060301e-1 1.98836e-1 3.5632001040000042e-3 6.87622e-1 1.2761790116000005e-2
4.844221105527638e-1 1.96404e-1 3.8829817840000005e-3 6.88234e-1 1.3770451244000009e-2
4.891959798994975e-1 1.93731e-1 3.7305471389999954e-3 7.00706e-1 7.135358564e-3
4.9396984924623116e-1 1.98464e-1 4.000412704000003e-3 6.8301e-1 2.057420190000003e-2
