#{"compare_nolock":true,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lock_thresh":0.1,"lockdown":{"Random":[123131315,0.9]},"measure":"M","recovery_prob":0.14,"rel_thresh":0.05,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":200}
#lambda meanWL varianceWL meanNL varianceNL
0e0 5e-3 0e0 5e-3 0e0
5.263157894736842e-2 4.6231999999999995e-2 2.7350821759998577e-3 1.01007e-1 1.734051095100018e-2
1.0526315789473684e-1 9.106e-2 4.326076400000054e-3 3.0194299999999996e-1 5.127385975100024e-2
1.5789473684210525e-1 1.2582000000000002e-1 5.024527599999762e-3 4.5713299999999996e-1 6.430433531099955e-2
2.1052631578947367e-1 1.55678e-1 5.776020315999963e-3 5.809000000000001e-1 6.409585000000052e-2
2.631578947368421e-1 1.88858e-1 6.174675836000063e-3 6.702549999999999e-1 6.458381997500093e-2
3.157894736842105e-1 2.20809e-1 6.883140518999968e-3 7.4866e-1 6.0803444399999705e-2
3.684210526315789e-1 2.50089e-1 8.420047078999987e-3 8.16999e-1 5.0867898999000835e-2
4.2105263157894735e-1 2.7487e-1 9.710883099999963e-3 8.69879e-1 4.8972680359000084e-2
4.7368421052631576e-1 2.9256499999999996e-1 1.2131625774999924e-2 9.18176e-1 3.9134113024000196e-2
5.263157894736842e-1 3.07458e-1 1.4082898236000136e-2 9.50093e-1 3.4615246351000564e-2
5.789473684210527e-1 3.24129e-1 1.652735635900005e-2 9.82235e-1 3.122527977500014e-2
6.31578947368421e-1 3.3667499999999995e-1 1.8561919375000034e-2 1.000359e0 2.7075066119000065e-2
6.842105263157895e-1 3.38825e-1 1.8549234374999855e-2 1.011738e0 2.785629935600009e-2
7.368421052631579e-1 3.45679e-1 1.9473553958999728e-2 1.026195e0 2.2908736975000257e-2
7.894736842105263e-1 3.50543e-1 1.771569015099985e-2 1.03704e0 1.9163908399999888e-2
8.421052631578947e-1 3.48709e-1 1.3187258319000167e-2 1.040524e0 1.6439705423999765e-2
8.947368421052632e-1 3.6221899999999996e-1 1.2565381038999783e-2 1.049546e0 1.177876388399999e-2
9.473684210526315e-1 3.70203e-1 9.059913790999977e-3 1.059576e0 9.57286022400005e-3
1e0 3.8366999999999996e-1 7.888781100000068e-3 1.071628e0 7.696249615999966e-3
