#{"compare":true,"complock":{"dynamic_bool":false,"lock_style":{"Random":[123131315,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":250},"lockdown":{"dynamic_bool":true,"lock_style":"Targeted","lock_threshold":0.1,"release_threshold":0.05},"measure":"M","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":200}
#lambda meanWL varianceWL meanNL varianceNL
0e0 5e-3 0e0 5e-3 0e0
4.016064257028112e-3 5.601e-3 5.023798999999521e-6 5.544e-3 4.254064000000358e-6
8.032128514056224e-3 6.422e-3 2.119791600000111e-5 6.337000000000001e-3 1.8507431000001646e-5
1.2048192771084338e-2 7.585e-3 5.674277499999909e-5 7.6760000000000005e-3 6.282902400000338e-5
1.606425702811245e-2 9.287e-3 1.3503663099999496e-4 9.227e-3 1.3510747100000463e-4
2.0080321285140562e-2 1.187e-2 2.8897309999999574e-4 1.173e-2 2.817571000000275e-4
2.4096385542168676e-2 1.4576e-2 5.018402240000369e-4 1.5364e-2 5.327875039999996e-4
2.8112449799196786e-2 1.9462e-2 8.462805560000719e-4 1.9123e-2 8.281658709999853e-4
3.21285140562249e-2 2.2742e-2 1.1330514360000444e-3 2.3219e-2 1.1818230390000003e-3
3.614457831325301e-2 2.8345000000000002e-2 1.5441159750000737e-3 2.7885e-2 1.5531817750000616e-3
4.0160642570281124e-2 3.1532e-2 1.7974729760000193e-3 3.2486e-2 1.9105098040000468e-3
4.417670682730924e-2 3.615e-2 2.127017500000011e-3 3.7112e-2 2.2711694560001608e-3
4.819277108433735e-2 4.1887999999999995e-2 2.4416354560000144e-3 4.3433e-2 2.7082695109998693e-3
5.220883534136546e-2 4.5146e-2 2.6419786839999523e-3 4.7626999999999996e-2 3.013413870999843e-3
5.622489959839357e-2 4.9042e-2 2.870522235999861e-3 5.1739e-2 3.3756608789998715e-3
6.0240963855421686e-2 5.1977999999999996e-2 3.0009275160001146e-3 5.5783e-2 3.6115719109999127e-3
6.42570281124498e-2 5.6909e-2 3.196790719000131e-3 6.1811e-2 3.955175278999898e-3
6.827309236947791e-2 5.8474000000000005e-2 3.286301324000075e-3 6.593600000000001e-2 4.269993903999974e-3
7.228915662650602e-2 6.2929e-2 3.4256959590001886e-3 7.0083e-2 4.531288110999911e-3
7.630522088353414e-2 6.7648e-2 3.577968095999978e-3 7.687000000000001e-2 4.836943099999832e-3
8.032128514056225e-2 6.869900000000001e-2 3.642692399000064e-3 8.1063e-2 5.22803503100005e-3
8.433734939759036e-2 7.369200000000001e-2 3.6999191360000453e-3 8.487399999999999e-2 5.4217541239998035e-3
8.835341365461848e-2 7.6397e-2 3.773393390999943e-3 8.8716e-2 5.723901343999913e-3
9.236947791164658e-2 7.6403e-2 3.8664965909998832e-3 9.5438e-2 6.036448156000261e-3
9.63855421686747e-2 8.1837e-2 3.9056004309998868e-3 9.9571e-2 6.2669309589999484e-3
1.0040160642570281e-1 8.3612e-2 4.003533456000144e-3 1.05822e-1 6.554124316000064e-3
1.0441767068273092e-1 8.5646e-2 4.0115926840000316e-3 1.09788e-1 6.769225055999785e-3
1.0843373493975904e-1 9.019e-2 4.0762239000000896e-3 1.1324999999999999e-1 7.112467500000234e-3
1.1244979919678715e-1 9.3431e-2 4.079113239000195e-3 1.21031e-1 7.305432039000095e-3
1.1646586345381527e-1 9.609899999999999e-2 4.080647199000059e-3 1.2269500000000001e-1 7.721141975000024e-3
1.2048192771084337e-1 9.617200000000001e-2 4.199616415999989e-3 1.31293e-1 7.798083150999979e-3
1.2449799196787148e-1 9.8529e-2 4.350901159000075e-3 1.33809e-1 8.09720651899987e-3
1.285140562248996e-1 1.02201e-1 4.252930598999986e-3 1.4080399999999998e-1 8.258033584000046e-3
1.3253012048192772e-1 1.03188e-1 4.362566656000092e-3 1.43059e-1 8.50291751899976e-3
1.3654618473895583e-1 1.0592800000000001e-1 4.346668815999916e-3 1.49011e-1 8.631786879000016e-3
1.4056224899598393e-1 1.0925599999999999e-1 4.351256463999993e-3 1.52074e-1 9.079598523999984e-3
1.4457831325301204e-1 1.1007199999999999e-1 4.4096048159998945e-3 1.57435e-1 9.223045775000115e-3
1.4859437751004015e-1 1.1263e-1 4.421533100000086e-3 1.63577e-1 9.146180070999911e-3
1.5261044176706828e-1 1.15702e-1 4.351627196000056e-3 1.65181e-1 9.515502239000101e-3
1.566265060240964e-1 1.17242e-1 4.3952734359999635e-3 1.70462e-1 9.605126555999918e-3
1.606425702811245e-1 1.17499e-1 4.440029999000019e-3 1.754e-1 9.715809999999776e-3
1.646586345381526e-1 1.21776e-1 4.299485823999963e-3 1.80183e-1 9.996931511000003e-3
1.686746987951807e-1 1.23211e-1 4.410984479000093e-3 1.86372e-1 9.802477615999821e-3
1.7269076305220885e-1 1.25062e-1 4.433986156000014e-3 1.9023299999999999e-1 1.011701071099985e-2
1.7670682730923695e-1 1.26811e-1 4.422935278999886e-3 1.93016e-1 1.0245743743999865e-2
1.8072289156626506e-1 1.2923400000000002e-1 4.404823243999941e-3 1.95827e-1 1.0493041071000277e-2
1.8473895582329317e-1 1.28389e-1 4.620999679000046e-3 2.02393e-1 1.0573418550999846e-2
1.8875502008032127e-1 1.3294e-1 4.339126399999955e-3 2.0725200000000002e-1 1.0499278495999968e-2
1.927710843373494e-1 1.33137e-1 4.381264230999889e-3 2.09508e-1 1.0748437935999984e-2
1.9678714859437751e-1 1.3419599999999998e-1 4.273603584000003e-3 2.13174e-1 1.077499572400006e-2
2.0080321285140562e-1 1.37449e-1 4.254007399000059e-3 2.19144e-1 1.0795027263999904e-2
2.0481927710843373e-1 1.3924899999999998e-1 4.300830998999951e-3 2.1951299999999999e-1 1.1110497830999986e-2
2.0883534136546184e-1 1.41883e-1 4.389279311000045e-3 2.2551e-1 1.1022259900000327e-2
2.1285140562248997e-1 1.41903e-1 4.403613591000059e-3 2.31544e-1 1.0791516064000205e-2
2.1686746987951808e-1 1.4449e-1 4.368679899999987e-3 2.3397600000000002e-1 1.1001261424000265e-2
2.2088353413654618e-1 1.46827e-1 4.397787071000047e-3 2.3589200000000002e-1 1.1459954336000064e-2
2.248995983935743e-1 1.4687e-1 4.342213099999913e-3 2.4317699999999998e-1 1.10682416710001e-2
2.289156626506024e-1 1.47471e-1 4.451499159000004e-3 2.4654399999999999e-1 1.1252846064000177e-2
2.3293172690763053e-1 1.49971e-1 4.407464159000045e-3 2.47616e-1 1.1545686544000108e-2
2.3694779116465864e-1 1.51829e-1 4.4755397589999885e-3 2.54696e-1 1.0993207583999798e-2
2.4096385542168675e-1 1.53856e-1 4.558261263999921e-3 2.56341e-1 1.1187706719000058e-2
2.4497991967871485e-1 1.57162e-1 4.2918957559999246e-3 2.59089e-1 1.1691005079000373e-2
2.4899598393574296e-1 1.5686e-1 4.692530399999974e-3 2.65524e-1 1.1202095424000181e-2
2.5301204819277107e-1 1.58675e-1 4.697999375000003e-3 2.67887e-1 1.1346580231000089e-2
2.570281124497992e-1 1.61412e-1 4.466536256000008e-3 2.71799e-1 1.1229518598999845e-2
2.6104417670682734e-1 1.61978e-1 4.600917516000036e-3 2.74552e-1 1.1575689296000136e-2
2.6506024096385544e-1 1.63424e-1 4.757336224000108e-3 2.7923e-1 1.1624697099999949e-2
2.6907630522088355e-1 1.66524e-1 4.538427423999981e-3 2.81582e-1 1.1717537275999931e-2
2.7309236947791166e-1 1.6731200000000002e-1 4.760184655999923e-3 2.86752e-1 1.1401750495999901e-2
2.7710843373493976e-1 1.6778700000000002e-1 4.962657631000002e-3 2.90545e-1 1.1223717974999966e-2
2.8112449799196787e-1 1.70436e-1 4.828239903999982e-3 2.9636399999999996e-1 1.0923109503999988e-2
2.85140562248996e-1 1.7243099999999997e-1 4.837005238999871e-3 2.98064e-1 1.1023761904000052e-2
2.891566265060241e-1 1.7369099999999998e-1 5.185701518999956e-3 3.0081199999999997e-1 1.1612780655999749e-2
2.931726907630522e-1 1.75531e-1 4.924293039000004e-3 3.03744e-1 1.1415492463999921e-2
2.971887550200803e-1 1.78251e-1 4.77108599900001e-3 3.07004e-1 1.1243183984000198e-2
3.0120481927710846e-1 1.8046299999999998e-1 4.908020631000048e-3 3.11984e-1 1.0928213744000256e-2
3.0522088353413657e-1 1.81491e-1 4.996371919000075e-3 3.13712e-1 1.1121641056000069e-2
3.092369477911647e-1 1.8169000000000002e-1 5.109743899999923e-3 3.18478e-1 1.0821323515999843e-2
3.132530120481928e-1 1.84617e-1 5.036338310999951e-3 3.21231e-1 1.0955489639000116e-2
3.172690763052209e-1 1.87019e-1 5.154478639000087e-3 3.2408499999999996e-1 1.0856647774999954e-2
3.21285140562249e-1 1.88628e-1 4.913367615999979e-3 3.2807699999999995e-1 1.0751417071000028e-2
3.253012048192771e-1 1.89184e-1 5.06470414400001e-3 3.27633e-1 1.1654662311000185e-2
3.293172690763052e-1 1.91477e-1 5.319343471000009e-3 3.33439e-1 1.1364898279000082e-2
3.333333333333333e-1 1.94792e-1 5.258186735999996e-3 3.3697499999999997e-1 1.0706584375000069e-2
3.373493975903614e-1 1.91841e-1 5.465165719000112e-3 3.3941200000000005e-1 1.1143404256000092e-2
3.413654618473896e-1 1.9511e-1 5.58717789999994e-3 3.44178e-1 1.0366044315999925e-2
3.453815261044177e-1 1.99809e-1 5.3561785190000405e-3 3.4429299999999996e-1 1.1470515151000131e-2
3.493975903614458e-1 1.9947900000000002e-1 5.427673559000063e-3 3.49123e-1 1.0828935870999762e-2
3.534136546184739e-1 2.01496e-1 5.6460919839999655e-3 3.50951e-1 1.1167270598999801e-2
3.57429718875502e-1 2.01402e-1 5.820454395999997e-3 3.5426e-1 1.0952402399999953e-2
3.614457831325301e-1 2.04156e-1 5.830527663999979e-3 3.5728499999999996e-1 1.0884103775000068e-2
3.654618473895582e-1 2.05724e-1 5.972325823999951e-3 3.60479e-1 1.032461555899995e-2
3.6947791164658633e-1 2.06309e-1 6.257821519000009e-3 3.60672e-1 1.1463628415999884e-2
3.7349397590361444e-1 2.0837599999999998e-1 6.136832623999888e-3 3.65558e-1 1.0465068635999816e-2
3.7751004016064255e-1 2.09697e-1 6.338563190999865e-3 3.70378e-1 1.0102677115999976e-2
3.815261044176707e-1 2.11874e-1 6.034998123999993e-3 3.7036700000000006e-1 1.082481031100009e-2
3.855421686746988e-1 2.14862e-1 6.115580955999915e-3 3.7762e-1 9.651795600000094e-3
3.895582329317269e-1 2.15481e-1 6.264023639000011e-3 3.74079e-1 1.1191196759000004e-2
3.9357429718875503e-1 2.16577e-1 6.176548070999955e-3 3.79895e-1 9.998803975000007e-3
3.9759036144578314e-1 2.1868500000000002e-1 6.3642957750000406e-3 3.8122300000000003e-1 1.0355699271000053e-2
4.0160642570281124e-1 2.2039899999999998e-1 6.288585798999974e-3 3.84783e-1 9.735717911000027e-3
4.0562248995983935e-1 2.20127e-1 6.437678870999976e-3 3.85651e-1 1.0314751198999758e-2
4.0963855421686746e-1 2.20351e-1 6.957651798999994e-3 3.89346e-1 9.853662284000054e-3
4.1365461847389556e-1 2.24942e-1 6.825986635999962e-3 3.9209099999999997e-1 1.000224271900002e-2
4.1767068273092367e-1 2.24851e-1 7.380372799000044e-3 3.9602699999999996e-1 8.967470271000054e-3
4.2168674698795183e-1 2.26043e-1 7.027517151000146e-3 3.9637e-1 9.737423099999911e-3
4.2570281124497994e-1 2.2801300000000002e-1 7.199076830999954e-3 3.99621e-1 9.621991359000019e-3
4.2971887550200805e-1 2.2765000000000002e-1 7.545607499999996e-3 4.00462e-1 9.78950655599989e-3
4.3373493975903615e-1 2.2857e-1 7.208185100000139e-3 4.02023e-1 1.0140722471000174e-2
4.3775100401606426e-1 2.29868e-1 7.771372576000068e-3 4.08021e-1 9.466778558999932e-3
4.4176706827309237e-1 2.30854e-1 7.468950683999917e-3 4.06412e-1 9.9593362559999e-3
4.457831325301205e-1 2.33575e-1 7.555314374999855e-3 4.0984499999999996e-1 9.965560974999925e-3
4.497991967871486e-1 2.34314e-1 7.786859404000055e-3 4.12348e-1 9.559436895999841e-3
4.538152610441767e-1 2.38294e-1 7.915579564000077e-3 4.18605e-1 8.108048975000025e-3
4.578313253012048e-1 2.3543199999999997e-1 7.997753375999924e-3 4.17177e-1 9.204395670999895e-3
4.6184738955823296e-1 2.3874099999999998e-1 8.272829919000003e-3 4.19264e-1 9.108288303999996e-3
4.6586345381526106e-1 2.3887799999999998e-1 8.495901116000033e-3 4.20253e-1 8.946390990999949e-3
4.6987951807228917e-1 2.39254e-1 8.652333484000031e-3 4.2174599999999995e-1 9.56834148399995e-3
4.738955823293173e-1 2.41799e-1 8.488948598999898e-3 4.23724e-1 9.344081823999976e-3
4.779116465863454e-1 2.4373699999999998e-1 8.53001983100012e-3 4.26689e-1 9.220222278999943e-3
4.819277108433735e-1 2.43517e-1 8.615565710999857e-3 4.2930399999999996e-1 9.28833558399997e-3
4.859437751004016e-1 2.41803e-1 9.118054191000079e-3 4.29182e-1 9.546300875999888e-3
4.899598393574297e-1 2.4221399999999998e-1 8.988028203999947e-3 4.3406999999999996e-1 8.55115510000015e-3
4.939759036144578e-1 2.4732700000000002e-1 9.076980071000053e-3 4.3688299999999997e-1 8.533359310999942e-3
4.979919678714859e-1 2.47156e-1 9.657541664000109e-3 4.3697899999999995e-1 8.826788558999881e-3
5.020080321285141e-1 2.4651700000000001e-1 9.07423371100006e-3 4.3963500000000005e-1 8.776881774999804e-3
5.060240963855421e-1 2.51263e-1 9.691069831000123e-3 4.41933e-1 8.59109851100001e-3
5.100401606425703e-1 2.50365e-1 9.79216177499992e-3 4.43126e-1 8.398788124000077e-3
5.140562248995983e-1 2.52003e-1 1.0067352990999935e-2 4.4677500000000003e-1 8.167554374999927e-3
5.180722891566265e-1 2.51436e-1 1.0119247903999925e-2 4.4779800000000003e-1 8.55006119600003e-3
5.220883534136547e-1 2.53551e-1 1.010099539899984e-2 4.48633e-1 8.479276311000017e-3
5.261044176706827e-1 2.54251e-1 1.0240993999000131e-2 4.49187e-1 8.630674031000153e-3
5.301204819277109e-1 2.5366700000000003e-1 1.0232758110999895e-2 4.53087e-1 8.194525431000061e-3
5.341365461847389e-1 2.55376e-1 1.1032468623999989e-2 4.5368e-1 8.892817600000165e-3
5.381526104417671e-1 2.55452e-1 1.0845165696000086e-2 4.57499e-1 8.601869999000061e-3
5.421686746987951e-1 2.56428e-1 1.113857081600004e-2 4.57826e-1 8.251953724000052e-3
5.461847389558233e-1 2.57266e-1 1.100724524399979e-2 4.58418e-1 8.14281727600007e-3
5.502008032128514e-1 2.59473e-1 1.1588797271000052e-2 4.6078e-1 8.390781600000048e-3
5.542168674698795e-1 2.58345e-1 1.1672165975000138e-2 4.6322899999999995e-1 7.696428559000017e-3
5.582329317269076e-1 2.59508e-1 1.1546067935999951e-2 4.63751e-1 8.124774999000037e-3
5.622489959839357e-1 2.60842e-1 1.149048103600003e-2 4.6692999999999996e-1 7.892695099999875e-3
5.662650602409639e-1 2.58614e-1 1.1946469003999984e-2 4.66936e-1 8.391791903999968e-3
