#{"compare":true,"complock":{"dynamic_bool":false,"lock_style":"CircuitBreaker","lock_threshold":0.1,"release_threshold":0.05},"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":1.0,"start":0.0,"steps":300},"lockdown":{"dynamic_bool":true,"lock_style":"Targeted","lock_threshold":0.1,"release_threshold":0.05},"measure":"M","recovery_prob":0.14,"samples_per_step":10000,"sir_seed":1489264107025,"system_size":200}
#lambda meanWL varianceWL meanNL varianceNL
0e0 5e-3 0e0 5e-3 0e0
3.3444816053511705e-3 5.442e-3 3.1896360000007616e-6 5.442e-3 3.1896360000007616e-6
6.688963210702341e-3 6.0805e-3 1.3375019750001527e-5 6.0805e-3 1.3375019750001527e-5
1.0033444816053512e-2 6.821000000000001e-3 3.107895900000498e-5 6.928e-3 3.5657815999997364e-5
1.3377926421404682e-2 8.2325e-3 8.177344375000411e-5 8.05e-3 7.802249999998484e-5
1.6722408026755852e-2 9.806500000000001e-3 1.6784505774997057e-4 9.647e-3 1.571453910000168e-4
2.0066889632107024e-2 1.1722999999999999e-2 2.7418127099999173e-4 1.1695500000000001e-2 2.7666777975003535e-4
2.3411371237458192e-2 1.45065e-2 4.98283957750005e-4 1.3848500000000001e-2 4.418415477500058e-4
2.6755852842809364e-2 1.77255e-2 7.495241497500646e-4 1.74705e-2 7.010391297500049e-4
3.0100334448160536e-2 2.18165e-2 1.113372827750039e-3 2.13975e-2 9.973944937499161e-4
3.3444816053511704e-2 2.5892e-2 1.5279943359998594e-3 2.43315e-2 1.2343706077498882e-3
3.678929765886288e-2 3.01615e-2 1.9492814177502176e-3 2.8852000000000003e-2 1.592482095999823e-3
4.013377926421405e-2 3.5313500000000005e-2 2.4653392177502505e-3 3.18485e-2 1.8170255477499466e-3
4.3478260869565216e-2 4.00365e-2 2.9472211677498772e-3 3.58435e-2 2.0904510077499085e-3
4.6822742474916385e-2 4.6705500000000004e-2 3.521223769750126e-3 4.0219500000000005e-2 2.3596293197498657e-3
5.016722408026756e-2 5.1102e-2 4.0713205959998265e-3 4.3009500000000006e-2 2.5245904097497152e-3
5.351170568561873e-2 5.58335e-2 4.544742777749861e-3 4.6776e-2 2.7321058239996978e-3
5.6856187290969896e-2 6.186899999999999e-2 5.086961838999504e-3 4.9645e-2 2.88253397499972e-3
6.020066889632107e-2 6.73e-2 5.5679950000002525e-3 5.30215e-2 3.0341830377498945e-3
6.354515050167224e-2 7.435699999999999e-2 6.2399215509994985e-3 5.6213e-2 3.164233631000175e-3
6.688963210702341e-2 7.986850000000001e-2 6.716285207750044e-3 5.87095e-2 3.2694871097502486e-3
7.023411371237458e-2 8.6005e-2 7.260609974999883e-3 6.200649999999999e-2 3.355241457749963e-3
7.357859531772576e-2 8.98875e-2 7.720919843750257e-3 6.4464e-2 3.4783627039999833e-3
7.692307692307693e-2 9.693e-2 8.239455100000135e-3 6.88795e-2 3.5491869797499853e-3
8.02675585284281e-2 1.0304050000000001e-1 8.73328285975047e-3 6.9642e-2 3.61906183600023e-3
8.361204013377926e-2 1.06375e-1 9.10426437499964e-3 7.20465e-2 3.7042493377501457e-3
8.695652173913043e-2 1.145655e-1 9.613433709750234e-3 7.480400000000001e-2 3.8155215839999826e-3
9.03010033444816e-2 1.1852700000000001e-1 1.0058025271000042e-2 7.8161e-2 3.7965530790001387e-3
9.364548494983277e-2 1.2435800000000001e-1 1.0579037836000307e-2 8.00725e-2 3.8706522437499205e-3
9.698996655518395e-2 1.28262e-1 1.0895434356000497e-2 8.2066e-2 3.9643916440001885e-3
1.0033444816053512e-1 1.358005e-1 1.1372926699749729e-2 8.361750000000001e-2 3.988581193749998e-3
1.0367892976588629e-1 1.3903100000000002e-1 1.1918956038999881e-2 8.66505e-2 4.016598349749776e-3
