#{"compare":true,"complock":{"dynamic_bool":false,"lock_style":"None","lock_threshold":0.1,"release_threshold":0.05},"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[5,20]},"lambda_range":{"end":1.0,"start":0.0,"steps":200},"lockdown":{"dynamic_bool":true,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"measure":"M","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":500}
#lambda meanWL varianceWL meanNL varianceNL
0e0 2e-3 0e0 2e-3 0e0
5.025125628140704e-3 3.1784e-3 1.3476973440001538e-5 3.1784e-3 1.3476973440001538e-5
1.0050251256281407e-2 9.1356e-3 3.1054161263998877e-4 9.1992e-3 3.1211551935997925e-4
1.507537688442211e-2 2.5528e-2 1.534860416000061e-3 2.61188e-2 1.7300026865600152e-3
2.0100502512562814e-2 4.1342399999999994e-2 2.5785211622398768e-3 5.33584e-2 4.703817149439825e-3
2.512562814070352e-2 5.4660400000000005e-2 3.0689822718398636e-3 8.70744e-2 8.892343264640239e-3
3.015075376884422e-2 6.445999999999999e-2 3.3553868000000884e-3 1.227912e-1 1.3168327602560028e-2
3.5175879396984924e-2 7.33944e-2 3.5348700486400424e-3 1.603236e-1 1.7691584083040494e-2
4.020100502512563e-2 8.156000000000001e-2 3.636824000000073e-3 1.9530920000000002e-1 2.1339443595359216e-2
4.522613065326633e-2 8.89708e-2 3.7618999473599275e-3 2.2520079999999998e-1 2.5213098879358853e-2
5.025125628140704e-2 9.65748e-2 3.7311872049600623e-3 2.596088e-1 2.790748536256048e-2
5.527638190954774e-2 1.0246559999999999e-1 3.8433864166399546e-3 2.912568e-1 3.0088638053760514e-2
6.030150753768844e-2 1.075184e-1 3.870284861440066e-3 3.1963440000000004e-1 3.184581993663985e-2
6.532663316582915e-2 1.1437399999999999e-1 3.8369457239999165e-3 3.4641120000000003e-1 3.3055054914559595e-2
7.035175879396985e-2 1.211472e-1 3.6425047321599815e-3 3.682284e-1 3.483091663344097e-2
7.537688442211055e-2 1.2481640000000001e-1 3.809564691039956e-3 3.941108e-1 3.469759652335979e-2
8.040201005025126e-2 1.320412e-1 3.7716631025599668e-3 4.2101e-1 3.3474143900000294e-2
8.542713567839195e-2 1.3462880000000002e-1 3.855275010560024e-3 4.326036e-1 3.631631806703957e-2
9.045226130653267e-2 1.399732e-1 3.965100881760044e-3 4.543892e-1 3.5817570923360596e-2
9.547738693467336e-2 1.451748e-1 3.969100644959958e-3 4.6754840000000003e-1 3.697868645744021e-2
1.0050251256281408e-1 1.5064760000000002e-1 4.021648614239989e-3 4.866048e-1 3.6211775016960476e-2
1.0552763819095477e-1 1.547964e-1 4.17135214704001e-3 5.070848e-1 3.363533520896043e-2
1.1055276381909548e-1 1.59142e-1 4.2436838359999705e-3 5.204884e-1 3.3949002265439884e-2
1.1557788944723618e-1 1.635172e-1 4.29705570415999e-3 5.36038e-1 3.2810512955999606e-2
1.2060301507537688e-1 1.6585319999999998e-1 4.48748484975995e-3 5.492804e-1 3.185112137584049e-2
1.2562814070351758e-1 1.706324e-1 4.280136870240073e-3 5.595072e-1 3.259758594815984e-2
1.306532663316583e-1 1.731328e-1 4.4401663641599745e-3 5.701708e-1 3.2731910827360704e-2
1.35678391959799e-1 1.7586680000000002e-1 4.34311105776005e-3 5.846236e-1 3.042520072304036e-2
1.407035175879397e-1 1.783464e-1 4.458902407039958e-3 5.951336e-1 2.9844630151039962e-2
1.457286432160804e-1 1.819828e-1 4.394530104160008e-3 6.081092e-1 2.7278088075360273e-2
1.507537688442211e-1 1.83612e-1 4.351100656000017e-3 6.172848e-1 2.679011248896005e-2
1.5577889447236182e-1 1.883108e-1 4.373005003360019e-3 6.259e-1 2.6522623599999833e-2
1.6080402010050251e-1 1.905024e-1 4.5195107942399785e-3 6.382168e-1 2.391276739776001e-2
1.658291457286432e-1 1.915916e-1 4.388635609440063e-3 6.413284e-1 2.652529855343987e-2
1.708542713567839e-1 1.949264e-1 4.707618583039992e-3 6.502336000000001e-1 2.5534865431039826e-2
1.7587939698492464e-1 1.9976e-1 4.629171200000022e-3 6.607628e-1 2.325792453615945e-2
1.8090452261306533e-1 2.024976e-1 4.7983171942400015e-3 6.688683999999999e-1 2.2141989081439443e-2
1.8592964824120603e-1 2.062516e-1 5.309729497440042e-3 6.74778e-1 2.1903901116000202e-2
1.9095477386934673e-1 2.124752e-1 5.059303784960065e-3 6.79922e-1 2.1935533915999738e-2
1.9597989949748743e-1 2.1723679999999998e-1 5.086033525759969e-3 6.871072e-1 2.064455970816024e-2
2.0100502512562815e-1 2.187152e-1 5.21149648896001e-3 6.935560000000001e-1 2.0081902063999745e-2
2.0603015075376885e-1 2.2548159999999998e-1 5.637430461439974e-3 6.964732e-1 2.1368618481760335e-2
2.1105527638190955e-1 2.2940639999999998e-1 5.759686039039997e-3 7.03018e-1 2.0371620476000312e-2
2.1608040201005024e-1 2.363232e-1 5.7016635417600795e-3 7.075212000000001e-1 2.0854374750559918e-2
2.2110552763819097e-1 2.399204e-1 6.043896863839982e-3 7.175876e-1 1.6807195526239913e-2
2.2613065326633167e-1 2.439e-1 6.267177200000055e-3 7.208128e-1 1.7836568156160207e-2
2.3115577889447236e-1 2.5151439999999997e-1 6.53854659264004e-3 7.258708e-1 1.7186918507360052e-2
2.3618090452261306e-1 2.526044e-1 6.813053100640028e-3 7.312124e-1 1.664732768624036e-2
2.4120603015075376e-1 2.594228e-1 6.890445240159994e-3 7.398312e-1 1.3700649906559862e-2
2.4623115577889448e-1 2.6396600000000003e-1 7.087903643999906e-3 7.399747999999999e-1 1.622688336495991e-2
2.5125628140703515e-1 2.684436e-1 7.511792819039975e-3 7.485567999999999e-1 1.3202299573760208e-2
2.562814070351759e-1 2.733124e-1 7.680755206239979e-3 7.506532e-1 1.4079047729760088e-2
2.613065326633166e-1 2.7858999999999995e-1 8.02325910000003e-3 7.55958e-1 1.3185616635999728e-2
2.663316582914573e-1 2.816932e-1 8.090821873759991e-3 7.615288e-1 1.1204142770559943e-2
2.71356783919598e-1 2.846624e-1 9.032953226239947e-3 7.637284e-1 1.1875373433439813e-2
2.7638190954773867e-1 2.8922559999999997e-1 8.842198704639937e-3 7.660739999999999e-1 1.1940606523999775e-2
2.814070351758794e-1 2.944652e-1 9.55428518895992e-3 7.687691999999999e-1 1.2627793131360122e-2
2.864321608040201e-1 2.980836e-1 9.615776211040069e-3 7.750272e-1 9.491528860159873e-3
2.914572864321608e-1 3.023072e-1 1.00426992281601e-2 7.763407999999999e-1 1.0747352655360051e-2
2.964824120603015e-1 3.0650279999999996e-1 1.0207586392159934e-2 7.799036e-1 1.0086367507040256e-2
3.015075376884422e-1 3.0490120000000004e-1 1.07904062385599e-2 7.850756e-1 7.446845484639991e-3
3.065326633165829e-1 3.065136e-1 1.1519633815040006e-2 7.840884e-1 1.0063527385440075e-2
3.1155778894472363e-1 3.1465839999999995e-1 1.173848490944002e-2 7.883084e-1 8.381972889439912e-3
3.165829145728643e-1 3.1993720000000003e-1 1.2031513656159917e-2 7.923848e-1 7.562837528960092e-3
3.2160804020100503e-1 3.208984e-1 1.2170919277439943e-2 7.917544000000001e-1 9.346346080640057e-3
3.2663316582914576e-1 3.222812e-1 1.313895532655996e-2 7.972416e-1 6.995024829440034e-3
3.316582914572864e-1 3.2552600000000004e-1 1.3266590524000026e-2 7.993432e-1 6.656242213760129e-3
3.3668341708542715e-1 3.2945440000000004e-1 1.4028590320639907e-2 8.002996e-1 7.321386239839939e-3
3.417085427135678e-1 3.3577999999999997e-1 1.4389519599999954e-2 8.027668e-1 7.749409617760135e-3
3.4673366834170855e-1 3.358024e-1 1.5339845754239871e-2 8.055988e-1 7.011502238560076e-3
3.5175879396984927e-1 3.36532e-1 1.5319120175999918e-2 8.091044000000001e-1 5.482214700640051e-3
3.5678391959798994e-1 3.3945319999999995e-1 1.5749263409760142e-2 8.093808e-1 7.344730191359956e-3
3.6180904522613067e-1 3.4491320000000003e-1 1.6350262865760072e-2 8.146732e-1 5.030613201760009e-3
3.6683417085427134e-1 3.483576e-1 1.728242732224002e-2 8.15586e-1 6.091645403999874e-3
3.7185929648241206e-1 3.454584e-1 1.756410346944e-2 8.177572e-1 5.999239448160084e-3
3.768844221105528e-1 3.494816e-1 1.808589766143998e-2 8.220624e-1 4.156095306239923e-3
3.8190954773869346e-1 3.521924e-1 1.854917338224004e-2 8.229188000000001e-1 5.519830206559965e-3
3.869346733668342e-1 3.533752e-1 1.855455682495996e-2 8.255936e-1 5.138566039039918e-3
3.9195979899497485e-1 3.524616e-1 1.9184759725439978e-2 8.281656000000001e-1 4.897652576640078e-3
