#{"compare_nolock":true,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[3,20]},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lock_thresh":0.1,"lockdown":"CircuitBreaker","measure":"M","recovery_prob":0.14,"rel_thresh":0.05,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":500}
#lambda meanWL varianceWL meanNL varianceNL
0e0 2e-3 0e0 2e-3 0e0
5.263157894736842e-2 6.98096e-2 3.728430947839975e-3 1.3564959999999998e-1 1.5141755619840307e-2
1.0526315789473684e-1 1.1996e-1 4.435979200000054e-3 3.2809320000000003e-1 3.345022571375983e-2
1.5789473684210525e-1 1.575308e-1 5.109972651359974e-3 4.70248e-1 3.533196889599991e-2
2.1052631578947367e-1 1.69722e-1 4.764691515999935e-3 5.68034e-1 3.1148514843999987e-2
2.631578947368421e-1 1.982672e-1 5.100184604160028e-3 6.359052000000001e-1 2.6950980612960064e-2
3.157894736842105e-1 2.42074e-1 6.359203324000046e-3 6.902628e-1 2.0010293336159713e-2
3.684210526315789e-1 2.8066680000000005e-1 8.211448977760046e-3 7.308247999999999e-1 1.6550532504959928e-2
4.2105263157894735e-1 3.1963080000000005e-1 9.525322091360082e-3 7.65324e-1 1.0128256623999842e-2
4.7368421052631576e-1 3.474648e-1 1.2318571160960013e-2 7.878292e-1 7.350837227360043e-3
5.263157894736842e-1 3.6896480000000004e-1 1.6265408360960024e-2 8.084352e-1 7.0898986009600125e-3
5.789473684210527e-1 3.8977080000000003e-1 2.052491466735986e-2 8.329956e-1 4.090230380639963e-3
6.31578947368421e-1 4.0230720000000003e-1 2.453819842815997e-2 8.497967999999999e-1 2.1829027097599917e-3
6.842105263157895e-1 4.0628960000000003e-1 2.839710493184001e-2 8.573544000000001e-1 2.0953016006399813e-3
7.368421052631579e-1 4.055648e-1 2.8763903400959998e-2 8.630164e-1 7.783021310400111e-4
7.894736842105263e-1 3.993416e-1 2.759363050944029e-2 8.656648e-1 5.983420409599957e-4
8.421052631578947e-1 3.8811720000000005e-1 2.1650985464160017e-2 8.682968e-1 5.723039097600091e-4
8.947368421052632e-1 3.8461239999999997e-1 1.785093136624009e-2 8.74586e-1 3.0684300400000226e-4
9.473684210526315e-1 3.830036e-1 1.450061438703988e-2 8.84974e-1 3.475897240000013e-4
1e0 3.909112e-1 1.4639988914560115e-2 8.996412e-1 2.1629446256000336e-4
