#{"compare_nolock":false,"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[3,20]},"lambda_range":{"end":1.0,"start":0.0,"steps":20},"lockdown":{"dynamic_bool":true,"lock_style":"Targeted","lock_threshold":0.1,"release_threshold":0.05},"measure":"M","recovery_prob":0.14,"samples_per_step":5000,"sir_seed":1489264107025,"system_size":500}
#lambda mean variance
0e0 2e-3 0e0
5.263157894736842e-2 6.71672e-2 3.734349644159919e-3
1.0526315789473684e-1 1.188684e-1 4.503539481439997e-3
1.5789473684210525e-1 1.568772e-1 5.33470332016005e-3
2.1052631578947367e-1 1.699872e-1 4.7392750361600535e-3
2.631578947368421e-1 1.986644e-1 5.12833057264004e-3
3.157894736842105e-1 2.4257679999999998e-1 6.20474410175998e-3
3.684210526315789e-1 2.831556e-1 7.986359788640004e-3
4.2105263157894735e-1 3.194468e-1 9.437886769759925e-3
4.7368421052631576e-1 3.4589319999999996e-1 1.2613250193760084e-2
5.263157894736842e-1 3.735612e-1 1.6196011454559962e-2
5.789473684210527e-1 3.880996e-1 2.058713167984016e-2
6.31578947368421e-1 4.0696519999999997e-1 2.5747408388959787e-2
6.842105263157895e-1 4.1559840000000003e-1 2.9329377917440128e-2
7.368421052631579e-1 4.055648e-1 2.8763903400959998e-2
7.894736842105263e-1 3.993416e-1 2.759363050944029e-2
8.421052631578947e-1 3.887644e-1 2.307836849264014e-2
8.947368421052632e-1 3.83104e-1 1.7201054784000063e-2
9.473684210526315e-1 3.84804e-1 1.5197327983999984e-2
1e0 3.903568e-1 1.4584893493760038e-2
